;Well;Fluor;Target;Content;Sample;Melt Temp
;A01;SYBR;STAT6;Std-01;;82
;A02;SYBR;STAT6;Std-02;;82,5
;A03;SYBR;STAT6;Std-03;;83
;A04;SYBR;STAT6;Std-04;;83
;A05;SYBR;STAT6;Std-05;;None
;A06;SYBR;STAT6;Std-06;;None
;A07;SYBR;IL-12;Std-07;;80
;A08;SYBR;IL-12;Std-08;;80,5
;A09;SYBR;IL-12;Std-09;;None
;A10;SYBR;IL-12;Std-10;;None
;A11;SYBR;IL-12;Std-11;;None
;A12;SYBR;IL-12;Std-12;;None
;B01;SYBR;STAT6;Std-01;;80
;B02;SYBR;STAT6;Std-02;;82
;B03;SYBR;STAT6;Std-03;;82,5
;B04;SYBR;STAT6;Std-04;;None
;B05;SYBR;STAT6;Std-05;;None
;B06;SYBR;STAT6;Std-06;;None
;B07;SYBR;IL-12;Std-07;;80
;B08;SYBR;IL-12;Std-08;;80
;B09;SYBR;IL-12;Std-09;;80,5
;B10;SYBR;IL-12;Std-10;;None
;B11;SYBR;IL-12;Std-11;;None
;B12;SYBR;IL-12;Std-12;;None
;C01;SYBR;STAT6;Std-01;;None
;C02;SYBR;STAT6;Std-02;;None
;C03;SYBR;STAT6;Std-03;;82,5
;C04;SYBR;STAT6;Std-04;;None
;C05;SYBR;STAT6;Std-05;;None
;C06;SYBR;STAT6;Std-06;;None
;C07;SYBR;IL-12;Std-07;;80
;C08;SYBR;IL-12;Std-08;;80,5
;C09;SYBR;IL-12;Std-09;;None
;C10;SYBR;IL-12;Std-10;;None
;C11;SYBR;IL-12;Std-11;;None
;C12;SYBR;IL-12;Std-12;;None
;D01;SYBR;STAT6;NTC;;None
;D02;SYBR;STAT6;NTC;;None
;D03;SYBR;STAT6;NTC;;None
;D04;SYBR;STAT6;NTC;;None
;D05;SYBR;STAT6;NTC;;None
;D06;SYBR;STAT6;NTC;;None
;D07;SYBR;IL-12;NTC;;None
;D08;SYBR;IL-12;NTC;;None
;D09;SYBR;IL-12;NTC;;None
;D10;SYBR;IL-12;NTC;;None
;D11;SYBR;IL-12;NTC;;None
;D12;SYBR;IL-12;NTC;;None
;E01;SYBR;TGF-b;Std-13;;82
;E02;SYBR;TGF-b;Std-14;;82
;E03;SYBR;TGF-b;Std-15;;82,5
;E04;SYBR;TGF-b;Std-16;;None
;E05;SYBR;TGF-b;Std-17;;None
;E06;SYBR;TGF-b;Std-18;;None
;E07;SYBR;IL-10;Std-19;;80
;E08;SYBR;IL-10;Std-20;;None
;E09;SYBR;IL-10;Std-21;;80,5
;E10;SYBR;IL-10;Std-22;;None
;E11;SYBR;IL-10;Std-23;;None
;E12;SYBR;IL-10;Std-24;;None
;F01;SYBR;TGF-b;Std-13;;81,5
;F02;SYBR;TGF-b;Std-14;;82
;F03;SYBR;TGF-b;Std-15;;82,5
;F04;SYBR;TGF-b;Std-16;;None
;F05;SYBR;TGF-b;Std-17;;None
;F06;SYBR;TGF-b;Std-18;;None
;F07;SYBR;IL-10;Std-19;;80
;F08;SYBR;IL-10;Std-20;;80,5
;F09;SYBR;IL-10;Std-21;;None
;F10;SYBR;IL-10;Std-22;;None
;F11;SYBR;IL-10;Std-23;;None
;F12;SYBR;IL-10;Std-24;;None
;G01;SYBR;TGF-b;Std-13;;81,5
;G02;SYBR;TGF-b;Std-14;;82
;G03;SYBR;TGF-b;Std-15;;82,5
;G04;SYBR;TGF-b;Std-16;;None
;G05;SYBR;TGF-b;Std-17;;None
;G06;SYBR;TGF-b;Std-18;;75,5
;G07;SYBR;IL-10;Std-19;;79,5
;G08;SYBR;IL-10;Std-20;;80
;G09;SYBR;IL-10;Std-21;;None
;G10;SYBR;IL-10;Std-22;;74
;G11;SYBR;IL-10;Std-23;;None
;G12;SYBR;IL-10;Std-24;;None
;H01;SYBR;TGF-b;NTC;;None
;H02;SYBR;TGF-b;NTC;;None
;H03;SYBR;TGF-b;NTC;;None
;H04;SYBR;TGF-b;NTC;;None
;H05;SYBR;TGF-b;NTC;;None
;H06;SYBR;TGF-b;NTC;;None
;H07;SYBR;IL-10;NTC;;None
;H08;SYBR;IL-10;NTC;;None
;H09;SYBR;IL-10;NTC;;None
;H10;SYBR;IL-10;NTC;;None
;H11;SYBR;IL-10;NTC;;None
;H12;SYBR;IL-10;NTC;;None
