;Well;Fluor;Target;Content;Sample;Biological Set Name;Cq;Cq Mean;Cq Std. Dev;Starting Quantity (SQ);Log Starting Quantity;SQ Mean;SQ Std. Dev;Set Point;Well Note
;A01;SYBR;STAT6;Std-01;;;29,1548916906626;33,3685094090785;5,2938693388965;10;1;10;0;60;
;A02;SYBR;STAT6;Std-02;;;30,7559402351958;32,8110394016429;3,27331656666247;10;1;10;0;60;
;A03;SYBR;STAT6;Std-03;;;35,6732255493182;35,6126170720643;0,571228150422493;1;0;1;0;60;
;A04;SYBR;STAT6;Std-04;;;34,5142267238886;34,5142267238886;0;0,1;-1;0,1;0;60;
;A05;SYBR;STAT6;Std-05;;;n. def.;0;0;0,01;-2;0;0;60;
;A06;SYBR;STAT6;Std-06;;;n. def.;0;0;0,001;-3;0;0;60;
;A07;SYBR;IL-12;Std-07;;;28,8148650444696;29,2572624895912;0,754987217330631;100;2;100;0;60;
;A08;SYBR;IL-12;Std-08;;;34,7962318279574;34,837349425847;1,59553939622639;10;1;10;0;60;
;A09;SYBR;IL-12;Std-09;;;n. def.;0;0;1;0;0;0;60;
;A10;SYBR;IL-12;Std-10;;;n. def.;0;0;0,1;-1;0;0;60;
;A11;SYBR;IL-12;Std-11;;;n. def.;0;0;0,01;-2;0;0;60;
;A12;SYBR;IL-12;Std-12;;;n. def.;0;0;0,001;-3;0;0;60;
;B01;SYBR;STAT6;Std-01;;;31,6400709660128;33,3685094090785;5,2938693388965;10;1;10;0;60;
;B02;SYBR;STAT6;Std-02;;;31,0914037148786;32,8110394016429;3,27331656666247;10;1;10;0;60;
;B03;SYBR;STAT6;Std-03;;;35,0135013012065;35,6126170720643;0,571228150422493;1;0;1;0;60;
;B04;SYBR;STAT6;Std-04;;;n. def.;0;0;0,1;-1;0;0;60;
;B05;SYBR;STAT6;Std-05;;;n. def.;0;0;0,01;-2;0;0;60;
;B06;SYBR;STAT6;Std-06;;;n. def.;0;0;0,001;-3;0;0;60;
;B07;SYBR;IL-12;Std-07;;;28,8279083136534;29,2572624895912;0,754987217330631;100;2;100;0;60;
;B08;SYBR;IL-12;Std-08;;;33,2627662335357;34,837349425847;1,59553939622639;10;1;10;0;60;
;B09;SYBR;IL-12;Std-09;;;36,0828593888729;36,0828593888729;0;1;0;1;0;60;
;B10;SYBR;IL-12;Std-10;;;n. def.;0;0;0,1;-1;0;0;60;
;B11;SYBR;IL-12;Std-11;;;n. def.;0;0;0,01;-2;0;0;60;
;B12;SYBR;IL-12;Std-12;;;n. def.;0;0;0,001;-3;0;0;60;
;C01;SYBR;STAT6;Std-01;;;39,3105655705601;33,3685094090785;5,2938693388965;10;1;10;0;60;
;C02;SYBR;STAT6;Std-02;;;36,5857742548543;32,8110394016429;3,27331656666247;10;1;10;0;60;
;C03;SYBR;STAT6;Std-03;;;36,1511243656683;35,6126170720643;0,571228150422493;1;0;1;0;60;
;C04;SYBR;STAT6;Std-04;;;n. def.;0;0;0,1;-1;0;0;60;
;C05;SYBR;STAT6;Std-05;;;n. def.;0;0;0,01;-2;0;0;60;
;C06;SYBR;STAT6;Std-06;;;n. def.;0;0;0,001;-3;0;0;60;
;C07;SYBR;IL-12;Std-07;;;30,1290141106507;29,2572624895912;0,754987217330631;100;2;100;0;60;
;C08;SYBR;IL-12;Std-08;;;36,4530502160478;34,837349425847;1,59553939622639;10;1;10;0;60;
;C09;SYBR;IL-12;Std-09;;;n. def.;0;0;1;0;0;0;60;
;C10;SYBR;IL-12;Std-10;;;n. def.;0;0;0,1;-1;0;0;60;
;C11;SYBR;IL-12;Std-11;;;n. def.;0;0;0,01;-2;0;0;60;
;C12;SYBR;IL-12;Std-12;;;n. def.;0;0;0,001;-3;0;0;60;
;D01;SYBR;STAT6;NTC;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D02;SYBR;STAT6;NTC;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D03;SYBR;STAT6;NTC;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D04;SYBR;STAT6;NTC;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D05;SYBR;STAT6;NTC;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D06;SYBR;STAT6;NTC;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D07;SYBR;IL-12;NTC;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D08;SYBR;IL-12;NTC;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D09;SYBR;IL-12;NTC;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D10;SYBR;IL-12;NTC;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;D11;SYBR;IL-12;NTC;;;37,4411538959606;37,4411538959606;0;n. def.;n. def.;n. def.;0;60;
;D12;SYBR;IL-12;NTC;;;n. def.;0;0;n. def.;n. def.;0;0;60;
;E01;SYBR;TGF-b;Std-13;;;28,4661046346291;28,7047096097644;0,207107876221528;100;2;100;0;60;
;E02;SYBR;TGF-b;Std-14;;;31,5528884404745;31,8542982041195;0,718519528838323;10;1;10;0;60;
;E03;SYBR;TGF-b;Std-15;;;34,2166313459516;34,5762233918289;0,334347436245648;1;0;1;0;60;
;E04;SYBR;TGF-b;Std-16;;;n. def.;0;0;0,1;-1;0;0;60;
;E05;SYBR;TGF-b;Std-17;;;n. def.;0;0;0,01;-2;0;0;60;
;E06;SYBR;TGF-b;Std-18;;;n. def.;0;0;0,001;-3;0;0;60;
;E07;SYBR;IL-10;Std-19;;;31,1876265329183;31,2377840766309;1,17777636218687;100;2;100;0;60;
;E08;SYBR;IL-10;Std-20;;;37,4838571707312;34,0217326874656;3,01657017187693;10;1;10;0;60;
;E09;SYBR;IL-10;Std-21;;;35,4040120004508;35,4040120004508;0;1;0;1;0;60;
;E10;SYBR;IL-10;Std-22;;;n. def.;0;0;0,1;-1;0;0;60;
;E11;SYBR;IL-10;Std-23;;;n. def.;0;0;0,01;-2;0;0;60;
;E12;SYBR;IL-10;Std-24;;;n. def.;0;0;0,001;-3;0;0;60;
;F01;SYBR;TGF-b;Std-13;;;28,8100685764897;28,7047096097644;0,207107876221528;100;2;100;0;60;
;F02;SYBR;TGF-b;Std-14;;;32,6744315205836;31,8542982041195;0,718519528838323;10;1;10;0;60;
;F03;SYBR;TGF-b;Std-15;;;34,6343297334862;34,5762233918289;0,334347436245648;1;0;1;0;60;
;F04;SYBR;TGF-b;Std-16;;;n. def.;0;0;0,1;-1;0;0;60;
;F05;SYBR;TGF-b;Std-17;;;39,5752603999164;39,5752603999164;0;0,01;-2;0,01;0;60;
;F06;SYBR;TGF-b;Std-18;;;n. def.;0;0;0,001;-3;0;0;60;
;F07;SYBR;IL-10;Std-19;;;30,0858877744382;31,2377840766309;1,17777636218687;100;2;100;0;60;
;F08;SYBR;IL-10;Std-20;;;31,9590590035732;34,0217326874656;3,01657017187693;10;1;10;0;60;
;F09;SYBR;IL-10;Std-21;;;n. def.;0;0;1;0;0;0;60;
;F10;SYBR;IL-10;Std-22;;;n. def.;0;0;0,1;-1;0;0;60;
;F11;SYBR;IL-10;Std-23;;;n. def.;0;0;0,01;-2;0;0;60;
;F12;SYBR;IL-10;Std-24;;;n. def.;0;0;0,001;-3;0;0;60;
;G01;SYBR;TGF-b;Std-13;;;28,8379556181746;28,7047096097644;0,207107876221528;100;2;100;0;60;
;G02;SYBR;TGF-b;Std-14;;;31,3355746513005;31,8542982041195;0,718519528838323;10;1;10;0;60;
;G03;SYBR;TGF-b;Std-15;;;34,877709096049;34,5762233918289;0,334347436245648;1;0;1;0;60;
;G04;SYBR;TGF-b;Std-16;;;n. def.;0;0;0,1;-1;0;0;60;
;G05;SYBR;TGF-b;Std-17;;;n. def.;0;0;0,01;-2;0;0;60;
;G06;SYBR;TGF-b;Std-18;;;36,7123365646919;36,7123365646919;0;0,001;-3;0,001;0;60;
