;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;SYBR;STAT6;Std-01;;29,1548916906626;10
;A02;SYBR;STAT6;Std-02;;30,7559402351958;10
;A03;SYBR;STAT6;Std-03;;35,6732255493182;1
;A04;SYBR;STAT6;Std-04;;34,5142267238886;0,1
;A05;SYBR;STAT6;Std-05;;n. def.;0,01
;A06;SYBR;STAT6;Std-06;;n. def.;0,001
;A07;SYBR;IL-12;Std-07;;28,8148650444696;100
;A08;SYBR;IL-12;Std-08;;34,7962318279574;10
;A09;SYBR;IL-12;Std-09;;n. def.;1
;A10;SYBR;IL-12;Std-10;;n. def.;0,1
;A11;SYBR;IL-12;Std-11;;n. def.;0,01
;A12;SYBR;IL-12;Std-12;;n. def.;0,001
;B01;SYBR;STAT6;Std-01;;31,6400709660128;10
;B02;SYBR;STAT6;Std-02;;31,0914037148786;10
;B03;SYBR;STAT6;Std-03;;35,0135013012065;1
;B04;SYBR;STAT6;Std-04;;n. def.;0,1
;B05;SYBR;STAT6;Std-05;;n. def.;0,01
;B06;SYBR;STAT6;Std-06;;n. def.;0,001
;B07;SYBR;IL-12;Std-07;;28,8279083136534;100
;B08;SYBR;IL-12;Std-08;;33,2627662335357;10
;B09;SYBR;IL-12;Std-09;;36,0828593888729;1
;B10;SYBR;IL-12;Std-10;;n. def.;0,1
;B11;SYBR;IL-12;Std-11;;n. def.;0,01
;B12;SYBR;IL-12;Std-12;;n. def.;0,001
;C01;SYBR;STAT6;Std-01;;39,3105655705601;10
;C02;SYBR;STAT6;Std-02;;36,5857742548543;10
;C03;SYBR;STAT6;Std-03;;36,1511243656683;1
;C04;SYBR;STAT6;Std-04;;n. def.;0,1
;C05;SYBR;STAT6;Std-05;;n. def.;0,01
;C06;SYBR;STAT6;Std-06;;n. def.;0,001
;C07;SYBR;IL-12;Std-07;;30,1290141106507;100
;C08;SYBR;IL-12;Std-08;;36,4530502160478;10
;C09;SYBR;IL-12;Std-09;;n. def.;1
;C10;SYBR;IL-12;Std-10;;n. def.;0,1
;C11;SYBR;IL-12;Std-11;;n. def.;0,01
;C12;SYBR;IL-12;Std-12;;n. def.;0,001
;D01;SYBR;STAT6;NTC;;n. def.;n. def.
;D02;SYBR;STAT6;NTC;;n. def.;n. def.
;D03;SYBR;STAT6;NTC;;n. def.;n. def.
;D04;SYBR;STAT6;NTC;;n. def.;n. def.
;D05;SYBR;STAT6;NTC;;n. def.;n. def.
;D06;SYBR;STAT6;NTC;;n. def.;n. def.
;D07;SYBR;IL-12;NTC;;n. def.;n. def.
;D08;SYBR;IL-12;NTC;;n. def.;n. def.
;D09;SYBR;IL-12;NTC;;n. def.;n. def.
;D10;SYBR;IL-12;NTC;;n. def.;n. def.
;D11;SYBR;IL-12;NTC;;37,4411538959606;n. def.
;D12;SYBR;IL-12;NTC;;n. def.;n. def.
;E01;SYBR;TGF-b;Std-13;;28,4661046346291;100
;E02;SYBR;TGF-b;Std-14;;31,5528884404745;10
;E03;SYBR;TGF-b;Std-15;;34,2166313459516;1
;E04;SYBR;TGF-b;Std-16;;n. def.;0,1
;E05;SYBR;TGF-b;Std-17;;n. def.;0,01
;E06;SYBR;TGF-b;Std-18;;n. def.;0,001
;E07;SYBR;IL-10;Std-19;;31,1876265329183;100
;E08;SYBR;IL-10;Std-20;;37,4838571707312;10
;E09;SYBR;IL-10;Std-21;;35,4040120004508;1
;E10;SYBR;IL-10;Std-22;;n. def.;0,1
;E11;SYBR;IL-10;Std-23;;n. def.;0,01
;E12;SYBR;IL-10;Std-24;;n. def.;0,001
;F01;SYBR;TGF-b;Std-13;;28,8100685764897;100
;F02;SYBR;TGF-b;Std-14;;32,6744315205836;10
;F03;SYBR;TGF-b;Std-15;;34,6343297334862;1
;F04;SYBR;TGF-b;Std-16;;n. def.;0,1
;F05;SYBR;TGF-b;Std-17;;39,5752603999164;0,01
;F06;SYBR;TGF-b;Std-18;;n. def.;0,001
;F07;SYBR;IL-10;Std-19;;30,0858877744382;100
;F08;SYBR;IL-10;Std-20;;31,9590590035732;10
;F09;SYBR;IL-10;Std-21;;n. def.;1
;F10;SYBR;IL-10;Std-22;;n. def.;0,1
;F11;SYBR;IL-10;Std-23;;n. def.;0,01
;F12;SYBR;IL-10;Std-24;;n. def.;0,001
;G01;SYBR;TGF-b;Std-13;;28,8379556181746;100
;G02;SYBR;TGF-b;Std-14;;31,3355746513005;10
;G03;SYBR;TGF-b;Std-15;;34,877709096049;1
;G04;SYBR;TGF-b;Std-16;;n. def.;0,1
;G05;SYBR;TGF-b;Std-17;;n. def.;0,01
