;;1;2;3;4;5;6;7;8;9;10;11;12
A;Content;Std-1;Std-2;Std-3;Std-4;Std-5;Std-6;Std-7;Std-8;Std-9;Std-10;Std-11;Std-12
A;Sample;;;;;;;;;;;;
A;Cq;29,1548916906626;30,7559402351958;35,6732255493182;34,5142267238886;n. def.;n. def.;28,8148650444696;34,7962318279574;n. def.;n. def.;n. def.;n. def.
A;copy number;10;10;1;0,1;0,01;0,001;100;10;1;0,1;0,01;0,001
B;Content;Std-1;Std-2;Std-3;Std-4;Std-5;Std-6;Std-7;Std-8;Std-9;Std-10;Std-11;Std-12
B;Sample;;;;;;;;;;;;
B;Cq;31,6400709660128;31,0914037148786;35,0135013012065;n. def.;n. def.;n. def.;28,8279083136534;33,2627662335357;36,0828593888729;n. def.;n. def.;n. def.
B;copy number;10;10;1;0,1;0,01;0,001;100;10;1;0,1;0,01;0,001
C;Content;Std-1;Std-2;Std-3;Std-4;Std-5;Std-6;Std-7;Std-8;Std-9;Std-10;Std-11;Std-12
C;Sample;;;;;;;;;;;;
C;Cq;39,3105655705601;36,5857742548543;36,1511243656683;n. def.;n. def.;n. def.;30,1290141106507;36,4530502160478;n. def.;n. def.;n. def.;n. def.
C;copy number;10;10;1;0,1;0,01;0,001;100;10;1;0,1;0,01;0,001
D;Content;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC
D;Sample;;;;;;;;;;;;
D;Cq;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;37,4411538959606;n. def.
D;copy number;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.
E;Content;Std-13;Std-14;Std-15;Std-16;Std-17;Std-18;Std-19;Std-20;Std-21;Std-22;Std-23;Std-24
E;Sample;;;;;;;;;;;;
E;Cq;28,4661046346291;31,5528884404745;34,2166313459516;n. def.;n. def.;n. def.;31,1876265329183;37,4838571707312;35,4040120004508;n. def.;n. def.;n. def.
E;copy number;100;10;1;0,1;0,01;0,001;100;10;1;0,1;0,01;0,001
F;Content;Std-13;Std-14;Std-15;Std-16;Std-17;Std-18;Std-19;Std-20;Std-21;Std-22;Std-23;Std-24
F;Sample;;;;;;;;;;;;
F;Cq;28,8100685764897;32,6744315205836;34,6343297334862;n. def.;39,5752603999164;n. def.;30,0858877744382;31,9590590035732;n. def.;n. def.;n. def.;n. def.
F;copy number;100;10;1;0,1;0,01;0,001;100;10;1;0,1;0,01;0,001
G;Content;Std-13;Std-14;Std-15;Std-16;Std-17;Std-18;Std-19;Std-20;Std-21;Std-22;Std-23;Std-24
G;Sample;;;;;;;;;;;;
G;Cq;28,8379556181746;31,3355746513005;34,877709096049;n. def.;n. def.;36,7123365646919;32,4398379225362;32,6222818880925;n. def.;36,9280515046788;n. def.;n. def.
G;copy number;100;10;1;0,1;0,01;0,001;100;10;1;0,1;0,01;0,001
H;Content;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC;NTC
H;Sample;;;;;;;;;;;;
H;Cq;n. def.;n. def.;n. def.;n. def.;n. def.;37,010504573709;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.
H;copy number;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.;n. def.
