;Well;Fluor;Target;Content;Sample;End RFU;Call;Sample Type;CallType;Is Control
;A01;SYBR;STAT6;Std-01;;1038,38781163882;;Standard;Unassigned;False
;A02;SYBR;STAT6;Std-02;;1114,6100521896;;Standard;Unassigned;False
;A03;SYBR;STAT6;Std-03;;526,033465175385;;Standard;Unassigned;False
;A04;SYBR;STAT6;Std-04;;644,985309515669;;Standard;Unassigned;False
;A05;SYBR;STAT6;Std-05;;-3,15861259347375;;Standard;Unassigned;False
;A06;SYBR;STAT6;Std-06;;-1,69782279466363;;Standard;Unassigned;False
;A07;SYBR;IL-12;Std-07;;1345,06498889008;;Standard;Unassigned;False
;A08;SYBR;IL-12;Std-08;;737,082311435642;;Standard;Unassigned;False
;A09;SYBR;IL-12;Std-09;;53,0226054834872;;Standard;Unassigned;False
;A10;SYBR;IL-12;Std-10;;-2,76407927320024;;Standard;Unassigned;False
;A11;SYBR;IL-12;Std-11;;-2,10502686590007;;Standard;Unassigned;False
;A12;SYBR;IL-12;Std-12;;8,46157531191866;;Standard;Unassigned;False
;B01;SYBR;STAT6;Std-01;;656,956849132844;;Standard;Unassigned;False
;B02;SYBR;STAT6;Std-02;;1165,7317694412;;Standard;Unassigned;False
;B03;SYBR;STAT6;Std-03;;647,149982766359;;Standard;Unassigned;False
;B04;SYBR;STAT6;Std-04;;-0,454674019776303;;Standard;Unassigned;False
;B05;SYBR;STAT6;Std-05;;-1,7477507684489;;Standard;Unassigned;False
;B06;SYBR;STAT6;Std-06;;-1,02052025671928;;Standard;Unassigned;False
;B07;SYBR;IL-12;Std-07;;1610,18760919855;;Standard;Unassigned;False
;B08;SYBR;IL-12;Std-08;;1111,31987412484;;Standard;Unassigned;False
;B09;SYBR;IL-12;Std-09;;520,995180602526;;Standard;Unassigned;False
;B10;SYBR;IL-12;Std-10;;-4,37782692678556;;Standard;Unassigned;False
;B11;SYBR;IL-12;Std-11;;11,0923713765827;;Standard;Unassigned;False
;B12;SYBR;IL-12;Std-12;;20,5175537437112;;Standard;Unassigned;False
;C01;SYBR;STAT6;Std-01;;102,327888473269;;Standard;Unassigned;False
;C02;SYBR;STAT6;Std-02;;327,49204622442;;Standard;Unassigned;False
;C03;SYBR;STAT6;Std-03;;464,948458724979;;Standard;Unassigned;False
;C04;SYBR;STAT6;Std-04;;-1,49108575407581;;Standard;Unassigned;False
;C05;SYBR;STAT6;Std-05;;0,875378379684116;;Standard;Unassigned;False
;C06;SYBR;STAT6;Std-06;;-1,75607424305763;;Standard;Unassigned;False
