Sample ID	Nucleic Acid Conc.	Unit	A260	A280	260/280	260/230	Sample Type	DNA	H2O	Sum	Conc
41	1377.2	ng/µl	41.732	25.327	1.65	2	ssDNA	10.9	1489.1	1500	10
76	1535.3	ng/µl	46.526	27.559	1.69	2.04	ssDNA	9.8	1490.2	1500	10
57	2418	ng/µl	73.272	43.312	1.69	2.07	ssDNA	6.2	1493.8	1500	10
86	1647.4	ng/µl	49.922	30.182	1.65	2	ssDNA	9.1	1490.9	1500	10
81	1664.1	ng/µl	50.429	30.496	1.65	2.01	ssDNA	9	1491	1500	10
67	1484.3	ng/µl	44.98	27.499	1.64	1.93	ssDNA	10.1	1489.9	1500	10
26	1362	ng/µl	41.274	25.284	1.63	1.72	ssDNA	11	1489	1500	10
24	1550.3	ng/µl	46.978	28.607	1.64	1.94	ssDNA	9.7	1490.3	1500	10
23	1260.8	ng/µl	38.207	23.115	1.65	1.92	ssDNA	11.9	1488.1	1500	10
47	1157.1	ng/µl	35.064	21.492	1.63	1.86	ssDNA	13	1487	1500	10
29	1233.5	ng/µl	37.378	22.917	1.63	1.89	ssDNA	12.2	1487.8	1500	10
95	1393.8	ng/µl	42.236	25.458	1.66	1.94	ssDNA	10.8	1489.2	1500	10
90	1390.1	ng/µl	42.125	25.786	1.63	1.92	ssDNA	10.8	1489.2	1500	10
63	1461.3	ng/µl	44.283	27.075	1.64	1.93	ssDNA	10.3	1489.7	1500	10
69	1171	ng/µl	35.485	21.539	1.65	1.98	ssDNA	12.8	1487.2	1500	10
51	1464.5	ng/µl	44.379	26.83	1.65	1.91	ssDNA	10.2	1489.8	1500	10
44	841.8	ng/µl	25.508	15.361	1.66	2	ssDNA	17.8	1482.2	1500	10
83	996.3	ng/µl	30.191	17.848	1.69	1.98	ssDNA	15.1	1484.9	1500	10
82	1116.7	ng/µl	33.84	20.05	1.69	1.99	ssDNA	13.4	1486.6	1500	10
77	1172	ng/µl	35.515	22.829	1.56	1.79	ssDNA	12.8	1487.2	1500	10
68	1161.4	ng/µl	35.195	21.038	1.67	2.01	ssDNA	12.9	1487.1	1500	10
64	1178.7	ng/µl	35.72	23.139	1.54	1.82	ssDNA	12.7	1487.3	1500	10
61	1147.7	ng/µl	34.778	20.933	1.66	1.95	ssDNA	13.1	1486.9	1500	10
55	998.3	ng/µl	30.251	18.181	1.66	2	ssDNA	15	1485	1500	10
79	2176.7	ng/µl	65.961	37.212	1.77	2	ssDNA	6.9	1493.1	1500	10
54	1605	ng/µl	48.638	28.454	1.71	2.02	ssDNA	9.3	1490.7	1500	10
59	1507.8	ng/µl	45.691	26.717	1.71	2.04	ssDNA	9.9	1490.1	1500	10
28	3615.8	ng/µl	109.57	64.094	1.71	1.99	ssDNA	4.1	1495.9	1500	10
66	1191.3	ng/µl	36.099	21.222	1.7	2	ssDNA	12.6	1487.4	1500	10
84	1721.5	ng/µl	52.168	29.52	1.77	1.95	ssDNA	8.7	1491.3	1500	10
30	1690.1	ng/µl	51.215	28.929	1.77	1.98	ssDNA	8.9	1491.1	1500	10
80	1242.9	ng/µl	37.662	22.057	1.71	2.02	ssDNA	12.1	1487.9	1500	10
65	1206.6	ng/µl	36.563	21.528	1.7	2.01	ssDNA	12.4	1487.6	1500	10
54	1517.4	ng/µl	45.983	26.616	1.73	1.86	ssDNA	9.9	1490.1	1500	10
56	1433.1	ng/µl	43.426	25.233	1.72	1.95	ssDNA	10.5	1489.5	1500	10
85	1701.1	ng/µl	51.548	29.896	1.72	1.99	ssDNA	8.8	1491.2	1500	10
29	1614.2	ng/µl	48.917	29.131	1.68	1.9	ssDNA	9.3	1490.7	1500	10
93	2323.5	ng/µl	70.41	40.577	1.74	1.8	ssDNA	6.5	1493.5	1500	10
88	2254.4	ng/µl	68.316	39.839	1.71	1.92	ssDNA	6.7	1493.3	1500	10
27	2938	ng/µl	89.029	50.075	1.78	2.13	ssDNA	5.1	1494.9	1500	10
25	2839.8	ng/µl	86.054	48.696	1.77	2.04	ssDNA	5.3	1494.7	1500	10
35	3126.4	ng/µl	94.74	54.354	1.74	2.09	ssDNA	4.8	1495.2	1500	10
91	3197.1	ng/µl	96.881	55.492	1.75	2.04	ssDNA	4.7	1495.3	1500	10
33	3366.8	ng/µl	102.026	59.033	1.73	2	ssDNA	4.5	1495.5	1500	10
46	1467.6	ng/µl	44.472	26.181	1.7	1.96	ssDNA	10.2	1489.8	1500	10
89	3165.4	ng/µl	95.921	55.155	1.74	2.05	ssDNA	4.7	1495.3	1500	10
43	1557.9	ng/µl	47.21	27.748	1.7	1.89	ssDNA	9.6	1490.4	1500	10
42	1887.3	ng/µl	57.191	33.68	1.7	1.42	ssDNA	7.9	1492.1	1500	10
71	1241	ng/µl	37.605	21.495	1.75	1.79	ssDNA	12.1	1487.9	1500	10
53	1024.2	ng/µl	31.035	18.122	1.71	1.95	ssDNA	14.6	1485.4	1500	10
49	883.4	ng/µl	26.77	16.031	1.67	1.93	ssDNA	17	1483	1500	10
31	1119.6	ng/µl	33.927	19.508	1.74	1.9	ssDNA	13.4	1486.6	1500	10
45	1208.7	ng/µl	36.627	21.164	1.73	1.89	ssDNA	12.4	1487.6	1500	10
78	1046.4	ng/µl	31.708	18.439	1.72	1.99	ssDNA	14.3	1485.7	1500	10
48	1154.7	ng/µl	34.99	19.986	1.75	1.96	ssDNA	13	1487	1500	10
73	968.2	ng/µl	29.338	17.268	1.7	1.86	ssDNA	15.5	1484.5	1500	10
75	1374.9	ng/µl	41.663	23.624	1.76	1.96	ssDNA	10.9	1489.1	1500	10
72	1219.9	ng/µl	36.967	21.128	1.75	1.94	ssDNA	12.3	1487.7	1500	10
32	976.5	ng/µl	29.59	17.572	1.68	1.96	ssDNA	15.4	1484.6	1500	10
28	937.4	ng/µl	28.405	16.978	1.67	1.93	ssDNA	16	1484	1500	10
