Sample,OD
LM0031,0.728333333333333
LM0073,0.6445
LM0080,0.579
LM0043,0.355333333333333
LM0084,0.442833333333333
LM0091,0.526166666666667
LM0042,0.481
LM0035,0.672333333333333
LM0033,0.762666666666667
LM0028,0.578166666666667
LM0056,0.701666666666667
LM0045,0.584666666666667
LM0066,0.612333333333334
LM0089,0.560166666666667
LM0023,0.638333333333333
LM0027,0.380833333333333
LM0049,0.728333333333333
LM0053,0.686333333333333
LM0078,0.6015
LM0046,0.612166666666667
LM0071,0.632333333333333
LM0048,0.5255
LM0025,0.321333333333333
LM0030,0.429166666666667
LM0054,0.6895
LM0072,0.9225
LM0069,0.629166666666667
LM0032,0.527666666666667
