Sample,Gene,Cq,Mean,Cq-Std.Dev,(E^(-Ct)),NF,NE
lm0068,TNFa,24.86,24.69,0.242,1.01192582230076E-07,2.2504935E-06,0.0449646188
lm0068,TNFa,24.52,24.69,0.242,,,
lm0093,TNFa,24.58,24.18,0.569,1.41E-07,1.35E-06,0.1044181955
lm0093,TNFa,23.78,24.18,0.569,,,
lm0079,TNFa,24.9,25.02,0.177,8.14335585110476E-08,1.36E-06,0.0600898264
lm0079,TNFa,25.15,25.02,0.177,,,
lm0055,TNFa,25.12,25,0.167,8.26117160499036E-08,1.4226183E-06,0.0580701908
lm0055,TNFa,24.88,25,0.167,,,
lm0059,TNFa,24.25,24.16,0.132,1.43284094953321E-07,1.56E-06,0.0920430132
lm0059,TNFa,24.06,24.16,0.132,,,
lm0042,TNFa,26.18,26.14,0.057,3.92569235965788E-08,1.04E-06,0.0376918741
lm0042,TNFa,26.1,26.14,0.057,,,
lm0065,TNFa,25.28,25.27,0.007,6.91583883285964E-08,1.03E-06,0.0669683362
lm0065,TNFa,25.27,25.27,0.007,,,
lm0080,TNFa,27.4,27.37,0.036,1.75653401020552E-08,1.4403699E-06,0.0121950203
lm0080,TNFa,27.35,27.37,0.036,,,
lm0028,TNFa,27.91,27.74,0.233,1.38190155291239E-08,1.14E-06,0.0121136095
lm0028,TNFa,27.58,27.74,0.233,,,
lm0033,TNFa,26.18,26.41,0.322,3.2926459855009E-08,4.6E-07,0.0716034345
lm0033,TNFa,26.64,26.41,0.322,,,
lm0045,TNFa,28.32,28.33,0.018,9.41339580102399E-09,9.5E-07,0.0099131553
lm0045,TNFa,28.34,28.33,0.018,,,
lm0023,TNFa,25.91,25.74,0.242,5.1E-08,5.68E-07,0.089928797
lm0023,TNFa,25.57,25.74,0.242,,,
lm0089,TNFa,27.37,27.47,0.141,1.64875207559319E-08,5.73E-07,0.0287650413
lm0089,TNFa,27.57,27.47,0.141,,,
lm0035,TNFa,28.61,28.86,0.351,6.6652009709176E-09,7.29E-07,0.0091373264
lm0035,TNFa,29.11,28.86,0.351,,,
lm0030,TNFa,27.35,27.44,0.14,1.67839647644574E-08,1.14E-06,0.0146820206
lm0030,TNFa,27.54,27.44,0.14,,,
lm0056,TNFa,28.7,28.74,0.055,7.22105328906526E-09,8.29E-07,0.0087102316
lm0056,TNFa,28.78,28.74,0.055,,,
lm0091,TNFa,27.69,27.61,0.116,1.5E-08,6.25E-07,0.0240894384
lm0091,TNFa,27.53,27.61,0.116,,,
lm0073,TNFa,28.32,28.3,0.028,9.61908171839902E-09,6.51E-07,0.0147789987
lm0073,TNFa,28.28,28.3,0.028,,,
lm0066,TNFa,26.31,26.36,0.077,3.4E-08,1.39E-06,0.0244711121
lm0066,TNFa,26.42,26.36,0.077,,,
lm0032,TNFa,31.63,29.54,2.958,4.28054724682112E-09,6.3E-07,0.0067957531
lm0032,TNFa,27.45,29.54,2.958,,,
lm0031,TNFa,26.32,26.01,0.437,4.28124022730159E-08,8.69E-07,0.0492412022
lm0031,TNFa,25.7,26.01,0.437,,,
lm0025,TNFa,25.47,25.59,0.171,5.6155008097622E-08,1.55E-06,0.0361884037
lm0025,TNFa,25.71,25.59,0.171,,,
lm0049,TNFa,26.44,26.19,0.355,3.81050640036431E-08,9.49E-07,0.0401339614
lm0049,TNFa,25.94,26.19,0.355,,,
lm0048,TNFa,25.67,25.77,0.136,5E-08,9.92E-07,0.0504186896
lm0048,TNFa,25.87,25.77,0.136,,,
lm0078,TNFa,25.82,25.75,0.104,5.06993809701104E-08,1.04E-06,0.0487081574
lm0078,TNFa,25.68,25.75,0.104,,,
lm0072,TNFa,27.01,27.22,0.3,1.94300324670177E-08,1.42E-06,0.0136438186
lm0072,TNFa,27.43,27.22,0.3,,,
lm0071,TNFa,25.77,25.84,0.103,4.7838593059626E-08,1.14E-06,0.0419412984
lm0071,TNFa,25.91,25.84,0.103,,,
lm0027,TNFa,25.96,26.08,0.164,4.09069791391396E-08,1.65E-06,0.0248324289
lm0027,TNFa,26.19,26.08,0.164,,,
