Sample,Gene,Cq,Mean,Cq-Std.Dev,(E^(-Ct)),NF,NE
lm0041,TNFa,27.01,27.19,0.248,1.98718176081259E-08,9.64E-07,0.0206048639
lm0041,TNFa,27.36,27.19,0.248,,,
lm0090,TNFa,26.06,26.16,0.14,3.88543255519912E-08,1.79E-06,0.0216850588
lm0090,TNFa,26.26,26.16,0.14,,,
lm0044,TNFa,28.05,28.06,0.011,1.1239981042142E-08,8.52E-07,0.0131889056
lm0044,TNFa,28.07,28.06,0.011,,,
lm0086,TNFa,27.06,27.09,0.038,2.1130921042636E-08,1.87E-06,0.0113136879
lm0086,TNFa,27.12,27.09,0.038,,,
lm0069,TNFa,27.08,27.04,0.064,2.18948648929748E-08,1.43E-06,0.0153452154
lm0069,TNFa,26.99,27.04,0.064,,,
lm0076,TNFa,27.64,27.65,0.015,1.47029183741343E-08,1.14E-06,0.0129057127
lm0076,TNFa,27.66,27.65,0.015,,,
lm0063,TNFa,26.42,26.58,0.234,2.94785708467695E-08,2.1E-06,0.0140208767
lm0063,TNFa,26.75,26.58,0.234,,,
lm0095,TNFa,27.44,27.35,0.124,1.77996565671821E-08,1.0877852E-06,0.016363209
lm0095,TNFa,27.27,27.35,0.124,,,
lm0026,TNFa,27.6,27.9,0.425,1.24439892833842E-08,9.08E-07,0.0137051866
lm0026,TNFa,28.2,27.9,0.425,,,
lm0051,TNFa,26.38,26.44,0.088,3.22813084087271E-08,1.51E-06,0.0214012791
lm0051,TNFa,26.5,26.44,0.088,,,
lm0081,TNFa,26.32,26.41,0.122,3.30592599486498E-08,2.05E-06,0.0161000767
lm0081,TNFa,26.49,26.41,0.122,,,
lm0067,TNFa,27.84,27.8,0.051,1.32825296774662E-08,5.74E-07,0.023143522
lm0067,TNFa,27.77,27.8,0.051,,,
lm0024,TNFa,25.75,25.43,0.46,6.24764229345376E-08,1.0411905E-06,0.0600047954
lm0024,TNFa,25.1,25.43,0.46,,,
lm0077,TNFa,25.76,25.74,0.033,5.11894322710033E-08,4.77E-07,0.1073573423
lm0077,TNFa,25.71,25.74,0.033,,,
lm0085,TNFa,27.81,27.22,0.835,1.93867696964884E-08,3.4192491E-07,0.05669891
lm0085,TNFa,26.63,27.22,0.835,,,
lm0083,TNFa,25.31,25.29,0.028,6.83892661250694E-08,7.2E-07,0.0950242801
lm0083,TNFa,25.27,25.29,0.028,,,
lm0061,TNFa,25.14,24.84,0.429,9.2E-08,1.1255004E-06,0.08178332
lm0061,TNFa,24.53,24.84,0.429,,,
lm0088,TNFa,24.31,24.26,0.061,1.33618117270123E-07,9.53E-07,0.140241624
lm0088,TNFa,24.22,24.26,0.061,,,
lm0094,TNFa,24.84,25.03,0.264,8.12470247257277E-08,1.8883491E-06,0.0430254261
lm0094,TNFa,25.21,25.03,0.264,,,
lm0046,TNFa,26.51,26.67,0.229,2.78170329186873E-08,5.94E-07,0.0468474231
lm0046,TNFa,26.83,26.67,0.229,,,
lm0092,TNFa,24.43,25.02,0.83,8.15647788799468E-08,1.46E-06,0.0558105719
lm0092,TNFa,25.61,25.02,0.83,,,
lm0047,TNFa,25.64,25.73,0.13,5.13361725421864E-08,7.1867463E-07,0.0714317306
lm0047,TNFa,25.82,25.73,0.13,,,
lm0084,TNFa,25.34,25.62,0.397,5.5178266511082E-08,9.5E-07,0.0580759375
lm0084,TNFa,25.9,25.62,0.397,,,
lm0043,TNFa,25.13,25.05,0.116,8.00785158158734E-08,1.22E-06,0.0654721183
lm0043,TNFa,24.97,25.05,0.116,,,
lm0029,TNFa,25.07,24.91,0.227,8.75899645596546E-08,1.31E-06,0.0668131165
lm0029,TNFa,24.75,24.91,0.227,,,
lm0052,TNFa,25.47,25.8,0.471,4.9E-08,1.0262946E-06,0.0477632139
lm0052,TNFa,26.13,25.8,0.471,,,
lm0075,TNFa,24.59,24.4,0.261,1.22179759708918E-07,9.39E-07,0.1301590052
lm0075,TNFa,24.22,24.4,0.261,,,
lm0064,TNFa,25,24.7,0.422,1.00708416899715E-07,6.35E-07,0.1585666884
lm0064,TNFa,24.4,24.7,0.422,,,
lm0082,TNFa,24.95,25.22,0.388,7.15056933351882E-08,1.49E-06,0.0480026953
lm0082,TNFa,25.5,25.22,0.388,,,
