Conc,OD
2000,3.474
2000,3.474
2000,3.475
2000,3.465
2000,3.478
2000,3.525
1000,2.856
1000,2.649
1000,2.837
1000,2.647
1000,2.817
1000,2.666
500,1.576
500,1.735
500,1.594
500,1.733
500,1.604
500,1.739
250,1.028
250,0.971
250,1.038
250,0.963
250,1.041
250,0.982
125,0.511
125,0.506
125,0.513
125,0.506
125,0.516
125,0.51
62.5,0.264
62.5,0.256
62.5,0.266
62.5,0.26
62.5,0.267
62.5,0.263
31.25,0.13
31.25,0.105
31.25,0.13
31.25,0.108
31.25,0.13
31.25,0.108
0,0.001
0,-0.001
0,0.001
0,-0.001
0,0.001
0,-0.001
