"","EH_ID","inf.strain"
"1","LM0021","EfalL"
"2","LM0023","Uninf"
"3","LM0024","EfalW"
"4","LM0025","EfalL"
"5","LM0026","EfalW"
"6","LM0027","EfalW"
"7","LM0028","EfalW"
"8","LM0029","EferW"
"9","LM0030","EfalW"
"10","LM0031","EfalL"
"11","LM0032","Uninf"
"12","LM0033","EfalL"
"13","LM0035","EferW"
"14","LM0041","EferW"
"15","LM0042","Uninf"
"16","LM0043","EferW"
"17","LM0044","EfalW"
"18","LM0045","EfalW"
"19","LM0046","EfalW"
"20","LM0047","Uninf"
"21","LM0048","EfalW"
"22","LM0049","Uninf"
"23","LM0051","EfalL"
"24","LM0052","Uninf"
"25","LM0053","Uninf"
"26","LM0054","EfalW"
"27","LM0055","EfalW"
"28","LM0056","EferW"
"29","LM0059","EfalL"
"30","LM0061","EferW"
"31","LM0063","EfalL"
"32","LM0064","EferW"
"33","LM0065","Uninf"
"34","LM0066","EferW"
"35","LM0067","EferW"
"36","LM0068","EfalL"
"37","LM0069","EferW"
"38","LM0071","EferW"
"39","LM0072","EferW"
"40","LM0073","EfalL"
"41","LM0075","EfalL"
"42","LM0076","EfalW"
"43","LM0077","EfalW"
"44","LM0078","EferW"
"45","LM0079","EfalL"
"46","LM0080","EfalL"
"47","LM0081","Uninf"
"48","LM0082","EfalW"
"49","LM0083","EfalL"
"50","LM0084","EferW"
"51","LM0085","Uninf"
"52","LM0086","Uninf"
"53","LM0088","Uninf"
"54","LM0089","Uninf"
"55","LM0090","EfalL"
"56","LM0091","Uninf"
"57","LM0092","EferW"
"58","LM0093","EfalL"
"59","LM0094","EfalW"
"60","LM0095","Uninf"
