Sample,Gene,Cq,Mean,Cq-Std.Dev,(E^(-Ct)),NF,NE
lm0041,IL6,23.83,23.8,0.042,1.37644212899374E-07,9.64E-07,0.1427217341
lm0041,IL6,23.77,23.8,0.042,,,
lm0090,IL6,23.97,23.98,0.009,1.22518428850164E-07,1.79E-06,0.0683789848
lm0090,IL6,23.98,23.98,0.009,,,
lm0044,IL6,24.38,24.37,0.019,9.46485519651413E-08,8.52E-07,0.1110598688
lm0044,IL6,24.35,24.37,0.019,,,
lm0086,IL6,24.43,24.42,0.014,9.1612284375528E-08,1.87E-06,0.0490500527
lm0086,IL6,24.41,24.42,0.014,,,
lm0069,IL6,23.75,23.81,0.08,1.3716532989546E-07,1.43E-06,0.0961335705
lm0069,IL6,23.86,23.81,0.08,,,
lm0076,IL6,23.98,24,0.031,1.20791608837107E-07,1.14E-06,0.1060266922
lm0076,IL6,24.02,24,0.031,,,
lm0063,IL6,24.39,24.49,0.138,8.71622825108906E-08,2.1E-06,0.0414569494
lm0063,IL6,24.59,24.49,0.138,,,
lm0095,IL6,23.84,23.77,0.09,1.40336312801172E-07,1.0877852E-06,0.1290110518
lm0095,IL6,23.71,23.77,0.09,,,
lm0026,IL6,24.22,24.21,0.019,1.05E-07,9.08E-07,0.1545593869
lm0026,IL6,24.2,24.21,0.019,,,
lm0051,IL6,24.22,24.24,0.028,1.03E-07,1.51E-06,0.0682863466
lm0051,IL6,23.84,24.24,0.028,,,
lm0081,IL6,24.76,24.73,0.045,7.45203866458479E-08,2.05E-06,0.0362919177
lm0081,IL6,24.7,24.73,0.045,,,
lm0067,IL6,26.14,26.44,0.421,2.39481749752781E-08,5.74E-07,0.0417273763
lm0067,IL6,26.74,26.44,0.421,,,
lm0024,IL6,22.82,22.77,0.064,2.72929499159858E-07,1.0411905E-06,0.262132145
lm0024,IL6,22.73,22.77,0.064,,,
lm0077,IL6,22.27,22.32,0.075,3.68056901474929E-07,4.77E-07,0.7719095328
lm0077,IL6,22.37,22.32,0.075,,,
lm0068,IL6,23.13,22.98,0.223,2.38217997596857E-07,3.4192491E-07,0.6966968204
lm0068,IL6,22.82,22.98,0.223,,,
lm0083,IL6,22.59,22.65,0.084,2.96E-07,7.2E-07,0.41133536
lm0083,IL6,22.71,22.65,0.084,,,
lm0061,IL6,22.03,21.99,0.061,4.6E-07,1.1255004E-06,0.4086698578
lm0061,IL6,21.94,21.99,0.061,,,
lm0088,IL6,23.66,23.51,0.209,1.6742389778605E-07,9.53E-07,0.1757231714
lm0088,IL6,23.36,23.51,0.209,,,
lm0094,IL6,22.31,22.3,0.013,3.74268995824478E-07,1.8883491E-06,0.198199049
lm0094,IL6,22.29,22.3,0.013,,,
lm0046,IL6,22.45,22.39,0.097,3.52681282122176E-07,5.94E-07,0.5939601574
lm0046,IL6,22.32,22.39,0.097,,,
lm0092,IL6,22.35,22.42,0.102,3.44717722091904E-07,1.46E-06,0.2358725602
lm0092,IL6,22.49,22.42,0.102,,,
lm0047,IL6,24.05,24.07,0.036,1.15120816231238E-07,7.1867463E-07,0.1601848896
lm0047,IL6,24.1,24.07,0.036,,,
lm0084,IL6,23.46,23.33,0.19,1.8879007546925E-07,9.5E-07,0.1987043328
lm0084,IL6,23.19,23.33,0.19,,,
lm0043,IL6,23.39,23.22,0.238,2.02853951084236E-07,1.22E-06,0.1658531974
lm0043,IL6,23.05,23.22,0.238,,,
lm0029,IL6,23.28,23.18,0.138,2.08233158477238E-07,1.31E-06,0.1588390444
lm0029,IL6,23.08,23.18,0.138,,,
lm0052,IL6,23.85,23.99,0.196,1.21357248868399E-07,1.0262946E-06,0.1182479659
lm0052,IL6,24.13,23.99,0.196,,,
