Sample,Gene,Cq,Mean,Cq-Std.Dev,(E^(-Ct)),NF,NE
lm0075,IL6,24.33,24.15,0.254,1.09156399546721E-07,9.39E-07,0.116285123
lm0075,IL6,23.97,24.15,0.254,,,
lm0064,IL6,22.22,22.29,0.095,3.77E-07,6.35E-07,0.5936062818
lm0064,IL6,22.35,22.29,0.095,,,
lm0082,IL6,22.18,22.15,0.042,4.11161006851765E-07,1.49E-06,0.2760176932
lm0082,IL6,22.12,22.15,0.042,,,
lm0085,IL6,23.2,23.06,0.2,2.25512730217833E-07,2.2504935E-06,0.1002059016
lm0085,IL6,22.92,23.06,0.2,,,
lm0093,IL6,22.66,22.42,0.343,3.45720953134077E-07,1.35E-06,0.256088893
lm0093,IL6,22.17,22.42,0.343,,,
lm0079,IL6,24.08,23.85,0.329,1.33754577725328E-07,1.36E-06,0.0986975088
lm0079,IL6,23.61,23.85,0.329,,,
lm0055,IL6,22.33,22.25,0.108,3.86E-07,1.4226183E-06,0.2713322018
lm0055,IL6,22.17,22.25,0.108,,,
lm0059,IL6,22.41,22.48,0.095,3.31151493056112E-07,1.56E-06,0.2127255035
lm0059,IL6,22.55,22.48,0.095,,,
lm0042,IL6,23.09,23,0.123,2.34440410276361E-07,1.04E-06,0.2250940117
lm0042,IL6,22.91,23,0.123,,,
lm0065,IL6,23.68,23.76,0.115,1.41471567725065E-07,1.03E-06,0.1369915601
lm0065,IL6,23.84,23.76,0.115,,,
LM0080,IL6,25.24,25.26,0.03,5.22481573890737E-08,1.4403699E-06,0.0362741247
LM0080,IL6,25.28,25.26,0.03,,,
LM0028,IL6,24.48,24.48,0.007,8.76205951516979E-08,1.14E-06,0.0768073291
LM0028,IL6,24.49,24.48,0.007,,,
LM0033,IL6,24.11,24.02,0.13,1.1927334338842E-07,4.6E-07,0.259377445
LM0033,IL6,23.93,24.02,0.13,,,
LM0045,IL6,26.38,26.37,0.013,2.50832406795644E-08,9.5E-07,0.0264149162
LM0045,IL6,26.36,26.37,0.013,,,
LM0023,IL6,23.66,23.53,0.189,1.65059866045349E-07,5.68E-07,0.2908304876
LM0023,IL6,23.4,23.53,0.189,,,
LM0089,IL6,24.11,24.1,0.01,1.13143007286383E-07,5.73E-07,0.1973955528
LM0089,IL6,24.09,24.1,0.01,,,
LM0035,IL6,25.96,26.15,0.277,2.89209144321703E-08,7.29E-07,0.0396476918
LM0035,IL6,26.35,26.15,0.277,,,
LM0030,IL6,24.25,24.2,0.062,1.05449892011551E-07,1.14E-06,0.0922438477
LM0030,IL6,24.16,24.2,0.062,,,
LM0056,IL6,25.92,25.92,0.004,3.37911986297455E-08,8.29E-07,0.0407598661
LM0056,IL6,25.92,25.92,0.004,,,
LM0091,IL6,25.09,25.1,0.02,5.80940215619132E-08,6.25E-07,0.0929910128
LM0091,IL6,25.12,25.1,0.02,,,
LM0073,IL6,25.52,25.46,0.088,4.5807916552925E-08,6.51E-07,0.0703804334
LM0073,IL6,25.4,25.46,0.088,,,
LM0066,IL6,24.76,24.8,0.051,7.11436901720115E-08,1.39E-06,0.0511900679
LM0066,IL6,24.83,24.8,0.051,,,
LM0032,IL6,23.96,24.01,0.076,1.19846287859502E-07,6.3E-07,0.1902667439
LM0032,IL6,24.07,24.01,0.076,,,
lm0031,IL6,27.02,27.05,0.041,1.6E-08,8.69E-07,0.0183991614
lm0031,IL6,27.08,27.05,0.041,,,
lm0025,IL6,25.37,25.33,0.062,5E-08,1.55E-06,0.032247824
lm0025,IL6,25.28,25.33,0.062,,,
lm0049,IL6,26.44,26.52,0.106,2.26975508362035E-08,9.49E-07,0.0239060779
lm0049,IL6,26.59,26.52,0.106,,,
lm0078,IL6,28.36,28.34,0.026,6.76338018859849E-09,9.92E-07,0.0068201005
lm0078,IL6,28.32,28.34,0.026,,,
lm0048,IL6,24.3,24.86,0.798,6.80530619572365E-08,1.04E-06,0.0653802707
lm0048,IL6,25.43,24.86,0.798,,,
lm0072,IL6,26.74,26.55,0.265,2.22380390237033E-08,1.42E-06,0.015615608
lm0072,IL6,26.36,26.55,0.265,,,
lm0071,IL6,27.25,27.39,0.197,1.27648894300869E-08,1.14E-06,0.0111912998
lm0071,IL6,27.52,27.39,0.197,,,
lm0027,IL6,26.01,25.8,0.3,3.65196024011421E-08,1.65E-06,0.0221690882
lm0027,IL6,25.59,25.8,0.3,,,
