"","EH_ID","IFNy_SPL"
"1","LM0024",52.8618982466081
"2","LM0026",46.9738143873695
"3","LM0029",39.6367861287387
"4","LM0041",76.8310495578053
"5","LM0044",52.8200576198436
"6","LM0047",23.1717778435145
"7","LM0051",142.349496809269
"8","LM0055",60.8070433862813
"9","LM0059",63.4517659319395
"10","LM0061",64.6889861090688
"11","LM0063",37.173383170984
"12","LM0064",45.0240945543711
"13","LM0068",120.13917142482
"14","LM0075",26.8715811628752
"15","LM0076",46.2542238206524
"16","LM0077",52.3177458858696
"17","LM0079",29.4776106767872
"18","LM0081",28.4031778047623
"19","LM0083",305.128263791527
"20","LM0085",40.9263047425585
"21","LM0086",36.3915622004849
"22","LM0088",35.9128016558322
"23","LM0090",85.4801550930743
"24","LM0093",369.904665402109
"25","LM0094",58.6523201491284
"26","LM0095",46.084747813059
"27","LM0023",267.275399013959
"28","LM0025",96.9912062309822
"29","LM0027",124.557074349844
"30","LM0028",230.76294642656
"31","LM0030",148.544380838427
"32","LM0031",325.239654273638
"33","LM0032",201.554108765488
"34","LM0033",348.378117104993
"35","LM0035",288.70900110638
"36","LM0042",175.770088757696
"37","LM0043",112.470079549338
"38","LM0045",234.618843268255
"39","LM0046",251.171107598612
"40","LM0048",200.330990861276
"41","LM0049",325.239654273638
"42","LM0053",297.699462105374
"43","LM0054",299.746244137633
"44","LM0056",307.65537486414
"45","LM0066",251.272594356353
"46","LM0069",261.594751247914
"47","LM0071",263.552417168294
"48","LM0072",463.284503522949
"49","LM0073",271.120462013084
"50","LM0078",244.70517942429
"51","LM0080",231.256077719326
"52","LM0084",155.574998532977
"53","LM0089",220.198943696273
"54","LM0091",200.707068159571
