Sample,Gene,Cq,Mean,Cq-Std.Dev,(E^(-Ct)),NF,NE
lm0041,TGFb,20.64,21.06,0.597,3.32934449504942E-06,9.64E-07,3.4521598097
lm0041,TGFb,21.48,21.06,0.597,,,
lm0090,TGFb,23.29,23.33,0.057,8.57190806998746E-07,1.79E-06,0.4784083315
lm0090,TGFb,23.37,23.33,0.057,,,
lm0044,TGFb,22.54,22.57,0.04,1.34805922086793E-06,8.52E-07,1.5818021202
lm0044,TGFb,22.6,22.57,0.04,,,
lm0086,TGFb,21.13,21.04,0.124,3.3758592304626E-06,1.87E-06,1.8074658254
lm0086,TGFb,20.95,21.04,0.124,,,
lm0069,TGFb,22,22.04,0.055,1.853E-06,1.43E-06,1.2986886946
lm0069,TGFb,22.08,22.04,0.055,,,
lm0076,TGFb,22.41,22.41,0.007,1.48832050402362E-06,1.14E-06,1.3063962096
lm0076,TGFb,22.4,22.41,0.007,,,
lm0063,TGFb,21.09,21.05,0.064,3.3628595666217E-06,2.1E-06,1.5994750795
lm0063,TGFb,21,21.05,0.064,,,
lm0095,TGFb,22.73,22.98,0.348,1.05555560587856E-06,1.0877852E-06,0.9703713618
lm0095,TGFb,23.23,22.98,0.348,,,
lm0026,TGFb,23.1,22.84,0.366,1.14929994010914E-06,9.08E-07,1.2657813973
lm0026,TGFb,22.58,22.84,0.366,,,
lm0051,TGFb,21.64,21.56,0.112,2.46886195579854E-06,1.51E-06,1.6367615289
lm0051,TGFb,21.48,21.56,0.112,,,
lm0081,TGFb,20.7,20.8,0.146,3.88671269244506E-06,2.05E-06,1.8928546067
lm0081,TGFb,20.91,20.8,0.146,,,
lm0067,TGFb,21.71,21.69,0.028,2.289E-06,5.74E-07,3.9884155621
lm0067,TGFb,21.67,21.69,0.028,,,
lm0024,TGFb,22,22.05,0.068,1.84571274406608E-06,1.0411905E-06,1.7726945684
lm0024,TGFb,22.09,22.05,0.068,,,
lm0077,TGFb,23.98,23.97,0.011,5.82223273119262E-07,4.77E-07,1.2210712337
lm0077,TGFb,23.97,23.97,0.011,,,
lm0085,TGFb,25.13,25.3,0.244,2.63062221111359E-07,3.4192491E-07,0.7693567021
lm0085,TGFb,25.47,25.3,0.244,,,
