Sample,Gene,Cq,Mean,Cq-Std.Dev,(E^(-Ct)),NF,NE
lm0083,TGFb,22.94,23.04,0.136,1.01952140300186E-06,7.2E-07,1.4165861527
lm0083,TGFb,23.13,23.04,0.136,,,
lm0061,TGFb,21.06,21.1,0.062,3.248E-06,1.1255004E-06,2.8858354561
lm0061,TGFb,21.15,21.1,0.062,,,
lm0088,TGFb,25.09,25.09,0.002,2.99270850261137E-07,9.53E-07,0.3141058332
lm0088,TGFb,25.08,25.09,0.002,,,
lm0094,TGFb,23.96,23.99,0.037,5.77809986385066E-07,1.8883491E-06,0.3059868466
lm0094,TGFb,24.01,23.99,0.037,,,
lm0046,TGFb,22.71,22.62,0.116,1.30689094563652E-06,5.94E-07,2.2009706529
lm0046,TGFb,22.54,22.62,0.116,,,
lm0092,TGFb,20.28,20.31,0.037,5.22910811781379E-06,1.46E-06,3.5780090203
lm0092,TGFb,20.33,20.31,0.037,,,
lm0047,TGFb,22.77,22.83,0.081,1.15522844699175E-06,7.1867463E-07,1.6074429217
lm0047,TGFb,22.89,22.83,0.081,,,
lm0084,TGFb,22.3,22.38,0.108,1.5124116595469E-06,9.5E-07,1.5918355292
lm0084,TGFb,22.46,22.38,0.108,,,
lm0043,TGFb,22.98,22.66,0.46,1.28222468402256E-06,1.22E-06,1.0483456816
lm0043,TGFb,22.33,22.66,0.46,,,
lm0029,TGFb,21.04,21.02,0.03,3.41129070412365E-06,1.31E-06,2.6021127447
lm0029,TGFb,21,21.02,0.03,,,
lm0052,TGFb,23.76,23.17,0.834,9.41916401329206E-07,1.0262946E-06,0.9177836474
lm0052,TGFb,22.58,23.17,0.834,,,
lm0075,TGFb,21.94,21.87,0.089,2.04877872664994E-06,9.39E-07,2.1825791903
lm0075,TGFb,21.81,21.87,0.089,,,
lm0064,TGFb,23.66,23.59,0.098,7.31755326043899E-07,6.35E-07,1.1521581052
lm0064,TGFb,23.52,23.59,0.098,,,
lm0082,TGFb,22.49,22.4,0.128,1.49373289826728E-06,1.49E-06,1.0027621829
lm0082,TGFb,22.31,22.4,0.128,,,
lm0068,TGFb,21.04,21.02,0.03,3.41129070412365E-06,2.2504935E-06,1.5157967371
lm0068,TGFb,21,21.02,0.03,,,
lm0093,TGFb,21.98,22.21,0.321,1.67666839524379E-06,1.35E-06,1.2419731851
lm0093,TGFb,22.43,22.21,0.321,,,
lm0079,TGFb,20.76,20.66,0.144,4.22831935086739E-06,1.36E-06,3.1200770359
lm0079,TGFb,20.56,20.66,0.144,,,
lm0055,TGFb,21.87,21.87,0.008,2.04990243346991E-06,1.4226183E-06,1.440936359
lm0055,TGFb,21.88,21.87,0.008,,,
lm0059,TGFb,21.63,21.55,0.106,2.48050540121285E-06,1.56E-06,1.593430111
lm0059,TGFb,21.48,21.55,0.106,,,
lm0042,TGFb,22.49,22.52,0.045,1.38936885839123E-06,1.04E-06,1.333979111
lm0042,TGFb,22.55,22.52,0.045,,,
lm0065,TGFb,23.73,23.65,0.107,7.06070026574396E-07,1.03E-06,0.68371077
lm0065,TGFb,23.58,23.65,0.107,,,
lm0080,TGFb,20.59,20.66,0.092,4.23573254565022E-06,1.4403699E-06,2.9407255356
lm0080,TGFb,20.73,20.66,0.092,,,
lm0028,TGFb,21.64,21.62,0.031,2.383E-06,1.14E-06,2.0889013308
lm0028,TGFb,21.6,21.62,0.031,,,
lm0033,TGFb,21.83,21.74,0.135,2.22120493176988E-06,4.6E-07,4.8303371372
lm0033,TGFb,21.64,21.74,0.135,,,
lm0045,TGFb,22.82,22.6,0.32,1.32943070679366E-06,9.5E-07,1.4000105149
lm0045,TGFb,22.37,22.6,0.32,,,
lm0023,TGFb,24.32,24.18,0.195,5.13419869573191E-07,5.68E-07,0.9046302689
lm0023,TGFb,24.05,24.18,0.195,,,
lm0089,TGFb,24.37,24.38,0.016,4.55405507567438E-07,5.73E-07,0.7945256546
lm0089,TGFb,24.4,24.38,0.016,,,
lm0035,TGFb,22.83,22.93,0.142,1.09E-06,7.29E-07,1.4942787021
lm0035,TGFb,23.03,22.93,0.142,,,
lm0030,TGFb,22.95,22.76,0.266,1.20325336941391E-06,1.14E-06,1.0525636244
lm0030,TGFb,22.57,22.76,0.266,,,
lm0056,TGFb,23.58,23.59,0.019,7.31478451382863E-07,8.29E-07,0.8823292724
lm0056,TGFb,23.61,23.59,0.019,,,
lm0091,TGFb,23.16,23.19,0.038,9.3047658046565E-07,6.25E-07,1.4894124607
lm0091,TGFb,23.22,23.19,0.038,,,
lm0073,TGFb,22.11,22.23,0.175,1.65107183950693E-06,6.51E-07,2.5367482381
lm0073,TGFb,22.36,22.23,0.175,,,
lm0066,TGFb,25.27,24.77,0.713,3.61512496253376E-07,1.39E-06,0.2601193329
lm0066,TGFb,24.27,24.77,0.713,,,
lm0032,TGFb,23.38,23.41,0.051,8.13788435822248E-07,6.3E-07,1.2919622183
lm0032,TGFb,23.45,23.41,0.051,,,
lm0031,TGFb,24.18,24.18,0.005,5.13558138915714E-07,8.69E-07,0.5906751033
lm0031,TGFb,24.19,24.18,0.005,,,
lm0025,TGFb,21.73,21.79,0.085,2.15582462624371E-06,1.55E-06,1.3892946438
lm0025,TGFb,21.85,21.79,0.085,,,
lm0049,TGFb,23.36,23.32,0.06,8.63543069523438E-07,9.49E-07,0.9095222669
lm0049,TGFb,23.27,23.32,0.06,,,
lm0048,TGFb,22.33,22.41,0.114,1.48348451825562E-06,9.92E-07,1.4959255929
lm0048,TGFb,22.49,22.41,0.114,,,
lm0078,TGFb,24.92,25.32,0.561,2.59843720801456E-07,1.04E-06,0.2496383311
lm0078,TGFb,25.72,25.32,0.561,,,
lm0072,TGFb,23.22,23.17,0.076,9.432292147845E-07,1.42E-06,0.6623379728
lm0072,TGFb,23.11,23.17,0.076,,,
lm0071,TGFb,23.36,23.45,0.135,7.94848809781862E-07,1.14E-06,0.6968639539
lm0071,TGFb,23.55,23.45,0.135,,,
lm0027,TGFb,22.34,22.32,0.025,1.56867346075497E-06,1.65E-06,0.9522573657
lm0027,TGFb,22.3,22.32,0.025,,,
