Sample,Gene,Cq,Mean,Cq-Std.Dev,(E^(-Ct)),NF,NE
lm0041,IL10,27.21,27.16,0.078,1.01962840879375E-08,9.64E-07,0.0105724121
lm0041,IL10,27.1,27.16,0.078,,,
lm0090,IL10,23.96,23.98,0.031,8.8E-08,1.79E-06,0.0491339005
lm0090,IL10,24,23.98,0.031,,,
lm0044,IL10,26.05,25.95,0.144,2.31194322864507E-08,8.52E-07,0.0271281606
lm0044,IL10,25.85,25.95,0.144,,,
lm0086,IL10,24.2,24.28,0.112,7.19290792183438E-08,1.87E-06,0.0385114851
lm0086,IL10,24.36,24.28,0.112,,,
lm0069,IL10,25.44,25.43,0.019,3.28771525683306E-08,1.43E-06,0.0230422518
lm0069,IL10,25.42,25.43,0.019,,,
lm0076,IL10,26.59,26.43,0.234,1.67226733464924E-08,1.14E-06,0.0146785837
lm0076,IL10,26.26,26.43,0.234,,,
lm0063,IL10,24.94,24.99,0.068,4.42992830762361E-08,2.1E-06,0.0210700441
lm0063,IL10,25.04,24.99,0.068,,,
lm0095,IL10,26.13,26.1,0.05,2.09343016655097E-08,1.0877852E-06,0.0192448855
lm0095,IL10,26.06,26.1,0.05,,,
lm0026,IL10,27.13,27.02,0.163,1.12191296597815E-08,9.08E-07,0.0123561876
lm0026,IL10,26.9,27.02,0.163,,,
lm0051,IL10,24.6,24.5,0.141,6.17104160872399E-08,1.51E-06,0.0409116576
lm0051,IL10,24.4,24.5,0.141,,,
lm0081,IL10,23.2,23.21,0.014,1.48225859819865E-07,2.05E-06,0.0721869672
lm0081,IL10,23.22,23.21,0.014,,,
lm0067,IL10,26.32,26.19,0.173,1.96137929133316E-08,5.74E-07,0.0341751352
lm0067,IL10,26.07,26.19,0.173,,,
lm0024,IL10,24.38,24.33,0.073,6.95702827534439E-08,1.0411905E-06,0.0668180153
lm0024,IL10,24.27,24.33,0.073,,,
lm0077,IL10,26.75,26.62,0.181,1.46998722524832E-08,4.77E-07,0.0308293948
lm0077,IL10,26.49,26.62,0.181,,,
lm0085,IL10,26.75,26.62,0.181,1.46998722524832E-08,3.4192491E-07,0.0429915219
lm0085,IL10,26.49,26.62,0.181,,,
lm0083,IL10,25.4,25.47,0.111,3.1923641039194E-08,7.2E-07,0.0443566832
lm0083,IL10,25.55,25.47,0.111,,,
lm0061,IL10,24.34,24.23,0.157,7.42850268901406E-08,1.1255004E-06,0.0660017774
lm0061,IL10,24.12,24.23,0.157,,,
lm0088,IL10,24.71,24.67,0.062,5.50682281607445E-08,9.53E-07,0.0577979836
lm0088,IL10,24.63,24.67,0.062,,,
lm0094,IL10,25.39,25.4,0.014,3.36287377356569E-08,1.8883491E-06,0.0178085385
lm0094,IL10,25.41,25.4,0.014,,,
lm0046,IL10,25.73,25.72,0.014,2.7E-08,5.94E-07,0.0454691825
lm0046,IL10,25.71,25.72,0.014,,,
lm0092,IL10,24.31,24.26,0.078,7.28723041058036E-08,1.46E-06,0.0498627597
lm0092,IL10,24.2,24.26,0.078,,,
lm0047,IL10,25.21,25.2,0.022,3.85470003337967E-08,7.1867463E-07,0.0536362336
lm0047,IL10,25.18,25.2,0.022,,,
lm0084,IL10,24.24,24.21,0.036,7.5E-08,9.5E-07,0.0789517702
lm0084,IL10,24.19,24.21,0.036,,,
lm0043,IL10,25.09,25.04,0.061,4.27755638344334E-08,1.22E-06,0.0349732603
lm0043,IL10,25,25.04,0.061,,,
lm0029,IL10,23.29,23.24,0.068,1.45136861833815E-07,1.31E-06,0.1107095556
lm0029,IL10,23.19,23.24,0.068,,,
lm0052,IL10,25.21,25.06,0.21,4.22101712194297E-08,1.0262946E-06,0.0411287083
lm0052,IL10,24.91,25.06,0.21,,,
lm0075,IL10,23.27,23.11,0.222,1.58640881899609E-07,9.39E-07,0.1690013094
lm0075,IL10,22.95,23.11,0.222,,,
lm0064,IL10,25.61,25.55,0.081,3.0279124387571E-08,6.35E-07,0.047674868
lm0064,IL10,25.5,25.55,0.081,,,
lm0082,IL10,24.79,24.9,0.15,4.71855106570155E-08,1.49E-06,0.0316762426
lm0082,IL10,25,24.9,0.15,,,
lm0068,IL10,23.04,22.91,0.187,1.81285222888414E-07,2.2504935E-06,0.0805535421
lm0068,IL10,22.78,22.91,0.187,,,
lm0093,IL10,22.94,22.76,0.253,2.01387693328781E-07,1.35E-06,0.1491756603
lm0093,IL10,22.58,22.76,0.253,,,
lm0079,IL10,21.99,22.16,0.238,3.01745796915167E-07,1.36E-06,0.2226582369
lm0079,IL10,22.33,22.16,0.238,,,
lm0055,IL10,26.9,26.89,0.007,1.22044484400967E-08,1.4226183E-06,0.0085788637
lm0055,IL10,26.89,26.89,0.007,,,
lm0059,IL10,23.66,23.53,0.186,1.19086842097517E-07,1.56E-06,0.0764991521
lm0059,IL10,23.4,23.53,0.186,,,
lm0042,IL10,25.63,25.58,0.072,2.97454909012594E-08,1.04E-06,0.0285596321
lm0042,IL10,25.53,25.58,0.072,,,
lm0065,IL10,26.33,26.02,0.443,2.20855669285827E-08,1.03E-06,0.021386179
lm0065,IL10,25.71,26.02,0.443,,,
lm0080,IL10,24.7,24.78,0.109,5.11707941979115E-08,1.44E-06,0.035526148
lm0080,IL10,24.86,24.78,0.109,,,
lm0028,IL10,24.26,24.31,0.065,7.03395585737021E-08,1.14E-06,0.0616589469
lm0028,IL10,24.35,24.31,0.065,,,
lm0033,IL10,24.11,24.22,0.149,7.49072957287242E-08,4.6E-07,0.1628969427
lm0033,IL10,24.32,24.22,0.149,,,
lm0045,IL10,25.13,25.2,0.101,3.84873808363283E-08,9.5E-07,0.0405306855
lm0045,IL10,25.27,25.2,0.101,,,
lm0023,IL10,28.21,28.02,0.261,5.68286372902791E-09,5.68E-07,0.0100130339
lm0023,IL10,27.84,28.02,0.261,,,
lm0089,IL10,27.8,27.78,0.035,6.71260241340353E-09,5.73E-07,0.0117111777
lm0089,IL10,27.75,27.78,0.035,,,
lm0035,IL10,25.49,25.74,0.347,2.67443708923296E-08,7.29E-07,0.0366638675
lm0035,IL10,25.98,25.74,0.347,,,
lm0030,IL10,25.61,25.6,0.011,2.92911082034379E-08,1.14E-06,0.0256228287
lm0030,IL10,25.59,25.6,0.011,,,
lm0056,IL10,27.03,26.87,0.222,1.23731931684963E-08,8.29E-07,0.0149248833
lm0056,IL10,26.72,26.87,0.222,,,
lm0091,IL10,25.74,25.81,0.111,2.53652241520699E-08,6.25E-07,0.0406020761
lm0091,IL10,25.89,25.81,0.111,,,
lm0073,IL10,26.01,25.94,0.106,2.32950382234501E-08,6.51E-07,0.0357910817
lm0073,IL10,25.87,25.94,0.106,,,
lm0066,IL10,26.97,27.06,0.127,1.08859264534902E-08,1.39E-06,0.0078327581
lm0066,IL10,27.15,27.06,0.127,,,
lm0032,IL10,27.99,28.12,0.19,5.31275946738099E-09,6.3E-07,0.0084344827
lm0032,IL10,28.26,28.12,0.19,,,
lm0031,IL10,23.45,23.29,0.22,1.40134201980799E-07,8.69E-07,0.1611770469
lm0031,IL10,23.14,23.29,0.22,,,
lm0025,IL10,23.53,23.5,0.032,1.21480053986491E-07,1.55E-06,0.0782863255
lm0025,IL10,23.48,23.5,0.032,,,
lm0049,IL10,24.05,23.94,0.161,9.04767635733703E-08,9.49E-07,0.0952941828
lm0049,IL10,23.82,23.94,0.161,,,
lm0048,IL10,23.94,23.98,0.054,8.77321234939553E-08,9.92E-07,0.088467879
lm0048,IL10,24.02,23.98,0.054,,,
lm0078,IL10,23.45,23.33,0.17,1.36441407708258E-07,1.04E-06,0.1310826569
lm0078,IL10,23.21,23.33,0.17,,,
lm0072,IL10,24.32,24.36,0.056,6.80939163493087E-08,1.42E-06,0.0478157226
lm0072,IL10,24.4,24.36,0.056,,,
lm0071,IL10,23.55,23.74,0.269,1.03338076843802E-07,1.14E-06,0.0905990925
lm0071,IL10,23.93,23.74,0.269,,,
lm0027,IL10,23.99,24.08,0.13,8.22065384722129E-08,1.65E-06,0.0499031722
lm0027,IL10,24.17,24.08,0.13,,,
,,,,,,,
,,,,,,,
,,,,,1,,
