"","EH_ID","IFNy_SPL"
"1","LM0024",52.8618982466081
"2","LM0026",46.9738143873695
"3","LM0029",39.6367861287387
"4","LM0041",76.8310495578053
"5","LM0044",52.8200576198436
"6","LM0047",23.1717778435145
"7","LM0051",142.349496809269
"8","LM0055",60.8070433862813
"9","LM0059",63.4517659319395
"10","LM0061",64.6889861090688
"11","LM0063",37.173383170984
"12","LM0064",45.0240945543711
"13","LM0068",120.13917142482
"14","LM0075",26.8715811628752
"15","LM0076",46.2542238206524
"16","LM0077",52.3177458858696
"17","LM0079",29.4776106767872
"18","LM0081",28.4031778047623
"19","LM0083",305.128263791527
"20","LM0085",40.9263047425585
"21","LM0086",36.3915622004849
"22","LM0088",35.9128016558322
"23","LM0090",85.4801550930743
"24","LM0093",369.904665402109
"25","LM0094",58.6523201491284
"26","LM0095",46.084747813059
