Well,Fluor,Target,Sample,EH_ID,Temp
A10,SYBR,CDC42,Pos Ctrl,67,36.19
B10,SYBR,CDC42,Pos Ctrl,67,33.93
C10,SYBR,CDC42,Pos Ctrl,68,35.67
D10,SYBR,CDC42,Pos Ctrl,68,N/A
E10,SYBR,CDC42,Pos Ctrl,69,N/A
F10,SYBR,CDC42,Pos Ctrl,69,34.42
G10,SYBR,CDC42,Pos Ctrl,73,N/A
H10,SYBR,CDC42,Pos Ctrl,73,N/A
F05,SYBR,IFN-g,Unkn,69,38.06
A02,SYBR,IL-10,Unkn,67,36.04
B02,SYBR,IL-10,Unkn,67,N/A
C02,SYBR,IL-10,Unkn,68,N/A
D02,SYBR,IL-10,Unkn,68,N/A
A03,SYBR,IL-12,Unkn,67,37.06
C03,SYBR,IL-12,Unkn,68,N/A
D03,SYBR,IL-12,Unkn,68,N/A
G03,SYBR,IL-12,Unkn,73,N/A
A08,SYBR,Ppia,Unkn,67,17.2
B08,SYBR,Ppia,Unkn,67,16.98
E08,SYBR,Ppia,Unkn,69,14.01
F08,SYBR,Ppia,Unkn,69,14.06
G08,SYBR,Ppia,Unkn,73,14.69
H08,SYBR,Ppia,Unkn,73,14.82
F09,SYBR,Ppib,Pos Ctrl,69,18.09
C01,SYBR,CXCL9,Unkn,77,N/A
D05,SYBR,IFN-g,Unkn,77,37.38
A02,SYBR,IL-10,Unkn,75,N/A
B02,SYBR,IL-10,Unkn,75,38.39
D02,SYBR,IL-10,Unkn,77,36.36
C02,SYBR,IL-10,Unkn,77,N/A
C03,SYBR,IL-12,Unkn,77,36.12
D03,SYBR,IL-12,Unkn,77,36.16
A01,SYBR,CXCL9,Unkn,81,N/A
C02,SYBR,IL-10,Unkn,82,35.93
D02,SYBR,IL-10,Unkn,82,36.03
E02,SYBR,IL-10,Unkn,83,N/A
F02,SYBR,IL-10,Unkn,83,N/A
C03,SYBR,IL-12,Unkn,82,35.76
F03,SYBR,IL-12,Unkn,83,37.65
E07,SYBR,TGF-b,Unkn,83,35.33
B02,SYBR,IL-10,Unkn,85,35.83
E02,SYBR,IL-10,Unkn,88,34.89
F02,SYBR,IL-10,Unkn,88,36.54
G02,SYBR,IL-10,Unkn,89,35.03
H02,SYBR,IL-10,Unkn,89,34.67
D03,SYBR,IL-12,Unkn,86,35.32
E03,SYBR,IL-12,Unkn,88,35.23
F03,SYBR,IL-12,Unkn,88,34.49
B11,SYBR,,Neg Ctrl,85,16.86
C11,SYBR,,Neg Ctrl,86,N/A
E11,SYBR,,Neg Ctrl,88,N/A
F11,SYBR,,Neg Ctrl,88,37.66
G11,SYBR,,Neg Ctrl,89,33.12
H11,SYBR,,Neg Ctrl,89,29.42
E02,SYBR,IL-10,Unkn,25,37.21
F02,SYBR,IL-10,Unkn,25,36.06
E07,SYBR,TGF-b,Unkn,25,29.53
F07,SYBR,TGF-b,Unkn,25,29.17
E02,SYBR,IL-10,Unkn,93,33.35
F02,SYBR,IL-10,Unkn,93,31.94
E03,SYBR,IL-12,Unkn,93,33.25
H01,SYBR,CXCL9,Unkn,92,N/A
B02,SYBR,IL-10,Unkn,30,35.17
C02,SYBR,IL-10,Unkn,29,35.51
D02,SYBR,IL-10,Unkn,29,35.23
C03,SYBR,IL-12,Unkn,29,N/A
D03,SYBR,IL-12,Unkn,29,39.01
C05,SYBR,IFN-g,Unkn,94,32.26
D05,SYBR,IFN-g,Unkn,94,32.64
C02,SYBR,IL-10,Unkn,94,32.41
D02,SYBR,IL-10,Unkn,94,33.25
F02,SYBR,IL-10,Unkn,70,32.48
C03,SYBR,IL-12,Unkn,94,33.16
D03,SYBR,IL-12,Unkn,94,N/A
E03,SYBR,IL-12,Unkn,70,33.33
F03,SYBR,IL-12,Unkn,70,33.78
F04,SYBR,IL-6,Unkn,70,33.08
C01,SYBR,CXCL9,Unkn,73,34.12
D01,SYBR,CXCL9,Unkn,73,34.12
A05,SYBR,IFN-g,Unkn,87,35.31
B05,SYBR,IFN-g,Unkn,87,34.65
H05,SYBR,IFN-g,Unkn,31,34.38
A02,SYBR,IL-10,Unkn,87,34.02
B02,SYBR,IL-10,Unkn,87,35.92
C02,SYBR,IL-10,Unkn,73,N/A
D02,SYBR,IL-10,Unkn,73,36.05
B03,SYBR,IL-12,Unkn,87,34.06
E03,SYBR,IL-12,Unkn,53,N/A
F03,SYBR,IL-12,Unkn,53,37.53
G03,SYBR,IL-12,Unkn,31,35.57
H03,SYBR,IL-12,Unkn,31,34.43
G05,SYBR,IFN-g,Unkn,34,35.02
D02,SYBR,IL-10,Unkn,32,34.11
G02,SYBR,IL-10,Unkn,34,N/A
H02,SYBR,IL-10,Unkn,34,N/A
D03,SYBR,IL-12,Unkn,32,34.51
G03,SYBR,IL-12,Unkn,34,35.34
H03,SYBR,IL-12,Unkn,34,37.09
H07,SYBR,TGF-b,Unkn,34,33.99
H05,SYBR,IFN-g,Unkn,78,33.9
C02,SYBR,IL-10,Unkn,71,34.51
D02,SYBR,IL-10,Unkn,71,36.08
E02,SYBR,IL-10,Unkn,72,35.2
F02,SYBR,IL-10,Unkn,72,35.86
G02,SYBR,IL-10,Unkn,78,34.9
G03,SYBR,IL-12,Unkn,78,36.13
H03,SYBR,IL-12,Unkn,78,35.16
A02,SYBR,IL-10,Unkn,48,36.88
B02,SYBR,IL-10,Unkn,48,N/A
A03,SYBR,IL-12,Unkn,48,N/A
A01,SYBR,CXCL9,Unkn,28,N/A
A02,SYBR,IL-10,Unkn,28,N/A
A03,SYBR,IL-12,Unkn,28,N/A
A04,SYBR,IL-6,Unkn,28,N/A
A05,SYBR,IFN-y,Unkn,28,N/A
A06,SYBR,STAT6,Unkn,28,N/A
