Well,Fluor,Target,Sample,EH_ID,Temp
A07,SYBR,TGF-b,Unkn,28,N/A
A08,SYBR,Ppia,Pos Ctrl,28,N/A
A09,SYBR,Ppip,Pos Ctrl,28,N/A
A10,SYBR,CDC42,Pos Ctrl,28,N/A
A11,SYBR,,Neg Ctrl,28,N/A
B01,SYBR,CXCL9,Unkn,28,N/A
B02,SYBR,IL-10,Unkn,28,N/A
B03,SYBR,IL-12,Unkn,28,N/A
B04,SYBR,IL-6,Unkn,28,N/A
B05,SYBR,IFN-y,Unkn,28,N/A
B06,SYBR,STAT6,Unkn,28,N/A
B07,SYBR,TGF-b,Unkn,28,N/A
B08,SYBR,Ppia,Pos Ctrl,28,N/A
B09,SYBR,Ppip,Pos Ctrl,28,N/A
B10,SYBR,CDC42,Pos Ctrl,28,N/A
C01,SYBR,CXCL9,Unkn,30,N/A
C02,SYBR,IL-10,Unkn,30,N/A
C03,SYBR,IL-12,Unkn,30,N/A
C04,SYBR,IL-6,Unkn,30,N/A
C05,SYBR,IFN-y,Unkn,30,N/A
C06,SYBR,STAT6,Unkn,30,N/A
C07,SYBR,TGF-b,Unkn,30,N/A
C08,SYBR,Ppia,Pos Ctrl,30,N/A
C09,SYBR,Ppip,Pos Ctrl,30,N/A
C10,SYBR,CDC42,Pos Ctrl,30,N/A
C11,SYBR,,Neg Ctrl,30,N/A
D01,SYBR,CXCL9,Unkn,30,N/A
D02,SYBR,IL-10,Unkn,30,N/A
D03,SYBR,IL-12,Unkn,30,N/A
D04,SYBR,IL-6,Unkn,30,N/A
D05,SYBR,IFN-y,Unkn,30,N/A
D06,SYBR,STAT6,Unkn,30,N/A
D07,SYBR,TGF-b,Unkn,30,N/A
D08,SYBR,Ppia,Pos Ctrl,30,N/A
D09,SYBR,Ppip,Pos Ctrl,30,N/A
D10,SYBR,CDC42,Pos Ctrl,30,N/A
D11,SYBR,,Neg Ctrl,30,N/A
E01,SYBR,CXCL9,Unkn,33,N/A
E02,SYBR,IL-10,Unkn,33,N/A
E03,SYBR,IL-12,Unkn,33,N/A
E04,SYBR,IL-6,Unkn,33,N/A
E05,SYBR,IFN-y,Unkn,33,N/A
E06,SYBR,STAT6,Unkn,33,N/A
E07,SYBR,TGF-b,Unkn,33,N/A
E08,SYBR,Ppia,Pos Ctrl,33,N/A
E09,SYBR,Ppip,Pos Ctrl,33,N/A
E10,SYBR,CDC42,Pos Ctrl,33,N/A
E11,SYBR,,Neg Ctrl,33,N/A
F01,SYBR,CXCL9,Unkn,33,N/A
F02,SYBR,IL-10,Unkn,33,N/A
F03,SYBR,IL-12,Unkn,33,N/A
F04,SYBR,IL-6,Unkn,33,N/A
F05,SYBR,IFN-y,Unkn,33,N/A
F06,SYBR,STAT6,Unkn,33,N/A
F07,SYBR,TGF-b,Unkn,33,N/A
F08,SYBR,Ppia,Pos Ctrl,33,N/A
F09,SYBR,Ppip,Pos Ctrl,33,N/A
F10,SYBR,CDC42,Pos Ctrl,33,N/A
F11,SYBR,,Neg Ctrl,33,N/A
G01,SYBR,CXCL9,Unkn,35,N/A
G02,SYBR,IL-10,Unkn,35,N/A
G03,SYBR,IL-12,Unkn,35,N/A
G04,SYBR,IL-6,Unkn,35,N/A
G05,SYBR,IFN-y,Unkn,35,N/A
G06,SYBR,STAT6,Unkn,35,N/A
G07,SYBR,TGF-b,Unkn,35,N/A
G08,SYBR,Ppia,Pos Ctrl,35,N/A
G09,SYBR,Ppip,Pos Ctrl,35,N/A
G10,SYBR,CDC42,Pos Ctrl,35,N/A
G11,SYBR,,Neg Ctrl,35,N/A
H01,SYBR,CXCL9,Unkn,35,N/A
H02,SYBR,IL-10,Unkn,35,N/A
H03,SYBR,IL-12,Unkn,35,N/A
H04,SYBR,IL-6,Unkn,35,N/A
H05,SYBR,IFN-y,Unkn,35,N/A
H06,SYBR,STAT6,Unkn,35,N/A
H07,SYBR,TGF-b,Unkn,35,N/A
H08,SYBR,Ppia,Pos Ctrl,35,N/A
H09,SYBR,Ppip,Pos Ctrl,35,N/A
H10,SYBR,CDC42,Pos Ctrl,35,N/A
H11,SYBR,,Neg Ctrl,35,N/A
A10,SYBR,CDC42,Pos Ctrl,36,N/A
E01,SYBR,CXCL9,Unkn,38,35.78
C05,SYBR,IFN-y,Unkn,37,33.93
A02,SYBR,IL-10,Unkn,36,36.55
B02,SYBR,IL-10,Unkn,36,39.56
C02,SYBR,IL-10,Unkn,37,N/A
C03,SYBR,IL-12,Unkn,37,37.4
D03,SYBR,IL-12,Unkn,37,35.21
C06,SYBR,STAT6,Unkn,37,33.92
D06,SYBR,STAT6,Unkn,37,32.51
C07,SYBR,TGF-b,Unkn,37,N/A
B11,SYBR,,Neg Ctrl,36,N/A
A05,SYBR,IFN-g,Unkn,C,36.48
G05,SYBR,IFN-g,Unkn,95,39.2
C02,SYBR,IL-10,Unkn,27,35.58
D02,SYBR,IL-10,Unkn,27,33.48
F04,SYBR,IL-6,Unkn,74,37.75
C09,SYBR,Ppib,Pos Ctrl,27,N/A
E07,SYBR,TGF-b,Unkn,95,37.66
C05,SYBR,IFN-g,Unkn,41,39.69
C02,SYBR,IL-10,Unkn,41,34.26
D02,SYBR,IL-10,Unkn,41,34.91
G02,SYBR,IL-10,Unkn,46,36.58
H02,SYBR,IL-10,Unkn,46,36.84
C11,SYBR,,Neg Ctrl,41,22.06
E11,SYBR,,Neg Ctrl,43,19.7
F11,SYBR,,Neg Ctrl,43,22.82
H11,SYBR,,Neg Ctrl,46,25.73
A10,SYBR,CDC42,Pos Ctrl,42,N/A
B10,SYBR,CDC42,Pos Ctrl,42,N/A
C10,SYBR,CDC42,Pos Ctrl,44,29.55
D10,SYBR,CDC42,Pos Ctrl,44,28.77
E10,SYBR,CDC42,Pos Ctrl,47,27.94
A01,SYBR,CXCL9,Unkn,42,39.86
B01,SYBR,CXCL9,Unkn,42,N/A
H01,SYBR,CXCL9,Unkn,50,1.54
C05,SYBR,IFN-g,Unkn,44,34.09
D05,SYBR,IFN-g,Unkn,44,34.38
A02,SYBR,IL-10,Unkn,42,39.43
B02,SYBR,IL-10,Unkn,42,N/A
C02,SYBR,IL-10,Unkn,44,N/A
D02,SYBR,IL-10,Unkn,44,35.53
A03,SYBR,IL-12,Unkn,42,34.42
B03,SYBR,IL-12,Unkn,42,N/A
C03,SYBR,IL-12,Unkn,44,37.93
D03,SYBR,IL-12,Unkn,44,39.03
B04,SYBR,IL-6,Unkn,42,N/A
B08,SYBR,Ppia,Unkn,42,N/A
A06,SYBR,STAT6,Unkn,42,33.91
B06,SYBR,STAT6,Unkn,42,N/A
A11,SYBR,,Neg Ctrl,42,12.19
E11,SYBR,,Neg Ctrl,47,31.78
H11,SYBR,,Neg Ctrl,50,39.1
A10,SYBR,CDC42,Pos Ctrl,51,N/A
B10,SYBR,CDC42,Pos Ctrl,51,30.33
A01,SYBR,CXCL9,Unkn,51,39.64
G01,SYBR,CXCL9,Unkn,58,30.33
H01,SYBR,CXCL9,Unkn,58,N/A
E02,SYBR,IL-10,Unkn,56,34.64
F02,SYBR,IL-10,Unkn,56,37.39
G02,SYBR,IL-10,Unkn,58,34.91
H02,SYBR,IL-10,Unkn,58,36.1
A03,SYBR,IL-12,Unkn,51,N/A
B03,SYBR,IL-12,Unkn,51,35.82
H03,SYBR,IL-12,Unkn,58,36.18
A06,SYBR,STAT6,Unkn,51,30.79
A11,SYBR,,Neg Ctrl,51,30.66
C11,SYBR,,Neg Ctrl,55,N/A
H11,SYBR,,Neg Ctrl,58,N/A
A10,SYBR,CDC42,Pos Ctrl,59,N/A
B10,SYBR,CDC42,Pos Ctrl,59,N/A
C10,SYBR,CDC42,Pos Ctrl,60,25.54
A01,SYBR,CXCL9,Unkn,59,38.37
H01,SYBR,CXCL9,Unkn,62,4.23
E05,SYBR,IFN-g,Unkn,61,37.85
F05,SYBR,IFN-g,Unkn,61,39.92
E02,SYBR,IL-10,Unkn,61,N/A
F02,SYBR,IL-10,Unkn,61,N/A
G02,SYBR,IL-10,Unkn,62,N/A
H02,SYBR,IL-10,Unkn,62,36.97
E03,SYBR,IL-12,Unkn,61,N/A
F03,SYBR,IL-12,Unkn,61,38.55
H03,SYBR,IL-12,Unkn,62,N/A
B08,SYBR,Ppia,Unkn,59,N/A
A09,SYBR,Ppib,Pos Ctrl,59,18.76
B09,SYBR,Ppib,Pos Ctrl,59,16.92
C09,SYBR,Ppib,Pos Ctrl,60,18.82
E09,SYBR,Ppib,Pos Ctrl,61,28.42
E07,SYBR,TGF-b,Unkn,61,34.69
F07,SYBR,TGF-b,Unkn,61,34.03
G11,SYBR,,Neg Ctrl,66,N/A
H11,SYBR,,Neg Ctrl,66,N/A
