Target,Sample,Cq
IL-12,95,28.6224090978353
IL-12,95,28.3379824663357
IL-12,23,28.8480912892852
IL-12,23,28.9920361429254
IL-12,24,26.9853515898223
IL-12,24,25.9523021137192
IL-12,25,25.3437606800503
IL-12,25,25.4910229890598
IL-12,26,23.809347248581
IL-12,28,26.1442947741927
IL-12,28,26.1818297456913
IL-12,30,25.5241074021785
IL-12,30,25.2336610423399
IL-12,31,23.9810705872958
IL-12,31,24.5007362517374
IL-12,32,23.6917583042658
IL-12,32,24.852831381798
IL-12,33,23.2983126179105
IL-12,33,26.3777173306324
IL-12,41,25.3223157499062
IL-12,41,25.5034671100531
IL-12,42,28.6039552288543
IL-12,42,28.5423525031895
IL-12,43,29.8152359411466
IL-12,43,29.2418076362163
IL-12,44,25.742149341039
IL-12,44,25.4645329309854
IL-12,45,25.1870389334123
IL-12,47,27.0790118957359
IL-12,47,26.968863066656
IL-12,48,27.3075458463989
IL-12,48,26.5504171761003
IL-12,49,25.7543955440826
IL-12,49,25.9602991702766
IL-12,51,28.2932848274627
IL-12,51,28.0508733000284
IL-12,53,24.9145378705981
IL-12,53,25.5137183149832
IL-12,55,32.0890856245231
IL-12,55,30.8081182317881
IL-12,59,29.5503531824429
IL-12,59,30.1286832365803
IL-12,61,31.3292972647198
IL-12,61,28.246990252715
IL-12,64,30.395304518344
IL-12,64,31.1172874513529
IL-12,66,33.217048785619
IL-12,66,33.2299565680703
IL-12,75,30.569753329857
IL-12,75,30.6068133711257
IL-12,76,30.5139307381914
IL-12,76,30.136098926462
IL-12,77,30.5668043562441
IL-12,77,28.7723024057992
IL-12,80,27.2246514228516
IL-12,80,27.273914725236
IL-12,81,28.7930478785554
IL-12,81,30.4867841246001
IL-12,82,29.2191244717844
IL-12,83,27.0692578590519
IL-12,83,27.6960634879426
IL-12,84,31.0896869907426
IL-12,84,32.1145888019761
IL-12,85,32.0550854748041
IL-12,85,31.7605204843738
IL-12,86,31.3275025901425
IL-12,86,31.3434258752502
IL-12,88,31.373850405693
IL-12,89,32.7433907830004
IL-12,90,32.3284303884523
IL-12,90,32.3249318889875
IL-12,91,28.8512250532868
IL-12,91,28.2179075179333
IL-12,93,28.1546000799916
IL-12,93,28.198053696465
IL-12,94,26.8932681064894
IL-12,94,26.8905084120426
