Target,Sample,Cq
IFN-y,95,30.593371259797
IFN-y,95,31.1381464270693
IFN-y,23,31.7499421213862
IFN-y,23,32.4022382545853
IFN-y,24,29.9621981250802
IFN-y,24,29.1306882965418
IFN-y,25,28.1477686549902
IFN-y,25,27.5856204283322
IFN-y,26,27.5332748229639
IFN-y,28,29.1064034119506
IFN-y,28,29.1130918645531
IFN-y,30,31.0162224874326
IFN-y,30,30.2374001042769
IFN-y,31,26.9276654022931
IFN-y,31,NaN
IFN-y,32,26.8364335250933
IFN-y,32,27.9891234720123
IFN-y,33,25.9078842307467
IFN-y,41,26.8833431992505
IFN-y,41,26.8632377487231
IFN-y,42,30.4697327876451
IFN-y,42,29.2801301514386
IFN-y,43,31.8946757480839
IFN-y,43,31.3421567392371
IFN-y,44,27.2317914783997
IFN-y,44,26.8048422811104
IFN-y,45,26.2914605812458
IFN-y,46,30.0447559474036
IFN-y,47,30.1961699194972
IFN-y,47,31.5232281203396
IFN-y,48,31.5978544380495
IFN-y,48,30.8294996321882
IFN-y,49,28.3009584157103
IFN-y,49,29.3522693250855
IFN-y,51,30.543968491714
IFN-y,51,30.2682515260243
IFN-y,53,27.2265007960917
IFN-y,54,31.4198136418452
IFN-y,55,29.0828517399491
IFN-y,55,31.6867579427393
IFN-y,59,33.1838040754047
IFN-y,59,35.0084232971664
IFN-y,61,30.8724546459727
IFN-y,61,33.3037742307558
IFN-y,64,31.8722823532325
IFN-y,64,33.929899712624
IFN-y,66,32.1394295214644
IFN-y,67,30.6832333599862
IFN-y,75,29.900486733601
IFN-y,75,33.3040772560156
IFN-y,76,32.1499075200042
IFN-y,76,32.9691498273852
IFN-y,77,34.5503662541251
IFN-y,77,34.2312574366164
IFN-y,80,30.2744909692933
IFN-y,80,29.7896685269936
IFN-y,81,31.8145427138562
IFN-y,82,30.0302454830714
IFN-y,83,29.3084270477371
IFN-y,83,31.0332178160701
IFN-y,84,31.8806758805101
IFN-y,84,32.1684897348317
IFN-y,85,32.8474624915897
IFN-y,85,28.5666354654605
IFN-y,86,34.9204370283546
IFN-y,86,32.6054423053996
IFN-y,88,31.20794377553
IFN-y,89,30.5408566383819
IFN-y,90,35.6849666578555
IFN-y,91,30.7430584659644
IFN-y,91,29.7813717214295
IFN-y,93,30.319200569314
IFN-y,93,29.2459888314327
IFN-y,94,29.0184585641117
IFN-y,94,28.941779704968
