Target,Sample,Cq
STAT6,95,27.6198441523064
STAT6,23,27.4637224187575
STAT6,23,27.0187701762206
STAT6,24,25.3977292378783
STAT6,24,25.6073510988474
STAT6,25,24.8217199676908
STAT6,25,24.9176820844235
STAT6,26,23.3037910006995
STAT6,26,24.1707612764458
STAT6,28,26.0603894540831
STAT6,28,25.8061107613144
STAT6,30,25.3245605977781
STAT6,30,25.2603228271962
STAT6,31,24.0886267072517
STAT6,31,24.198445570846
STAT6,32,24.3467215148479
STAT6,32,24.6215655043717
STAT6,33,22.8153542350117
STAT6,33,23.0514584094369
STAT6,41,23.9425803822548
STAT6,41,24.030415101073
STAT6,42,26.774361924244
STAT6,42,26.8843121730315
STAT6,43,27.7839668856251
STAT6,43,27.7820427278219
STAT6,44,23.9635985749919
STAT6,44,24.1352495899144
STAT6,45,23.5533745260051
STAT6,45,24.0885456329211
STAT6,46,25.5540373157622
STAT6,47,25.4815731016113
STAT6,47,25.2606932513023
STAT6,48,26.2256643212022
STAT6,48,26.1042216514863
STAT6,49,24.035383460968
STAT6,49,23.7727191583025
STAT6,51,26.4179714450449
STAT6,51,26.5915965991749
STAT6,53,22.1551512269794
STAT6,53,23.5765344290539
STAT6,54,25.4883275163049
STAT6,55,30.5789541652035
STAT6,55,30.1961191780682
STAT6,59,28.1572747924945
STAT6,59,28.1853621616476
STAT6,61,27.396217318433
STAT6,61,27.5847003890684
STAT6,64,30.9973481923727
STAT6,64,30.6703251826203
STAT6,66,31.7843150468448
STAT6,66,31.4137188793082
STAT6,67,26.3167516983675
STAT6,75,29.4451525775574
STAT6,75,29.0748572255334
STAT6,76,28.5058342519161
STAT6,76,28.8690303180658
STAT6,77,26.4235378986866
STAT6,77,28.0312589984411
STAT6,80,25.5761698019619
STAT6,80,25.5788390684556
STAT6,81,27.7638535443094
STAT6,81,27.6435588375112
STAT6,82,25.3643294090037
STAT6,82,27.4644252731045
STAT6,83,26.3711813881466
STAT6,83,26.099097607492
STAT6,84,30.6272170521499
STAT6,84,29.6704330743106
STAT6,85,29.359484676477
STAT6,85,30.1473658958618
STAT6,86,29.4403455979385
STAT6,86,29.6274775810957
STAT6,88,30.4830534132955
STAT6,88,30.6235431639074
STAT6,89,29.9568908720516
STAT6,89,30.0859518424362
STAT6,90,31.4743761255696
STAT6,90,32.0266725828142
STAT6,91,27.0267708751618
STAT6,91,26.9855835822174
STAT6,93,26.810744763709
STAT6,93,26.95388287022
STAT6,94,25.2825939249354
STAT6,94,25.622810336522
