Target,Sample,Cq
TGF-b,95,33.6507466295042
TGF-b,95,33.0024042652757
TGF-b,23,33.1463030511006
TGF-b,23,34.0300309523714
TGF-b,24,30.3162287110975
TGF-b,24,30.0674391091399
TGF-b,25,29.7595902965664
TGF-b,25,29.898754239583
TGF-b,26,28.2623935258118
TGF-b,28,33.0823452330524
TGF-b,28,33.0531865119852
TGF-b,30,29.9410142960264
TGF-b,30,30.5979126682084
TGF-b,31,29.5361051302549
TGF-b,31,30.4134087507738
TGF-b,32,27.9387215054558
TGF-b,32,29.2615036279631
TGF-b,33,28.5778752431985
TGF-b,33,32.2556124651999
TGF-b,41,29.1507234817857
TGF-b,41,29.283150983164
TGF-b,42,32.8566359012485
TGF-b,42,32.4367197028286
TGF-b,43,32.7337701088476
TGF-b,43,33.0752132108397
TGF-b,44,29.5643914007541
TGF-b,44,29.2678136664865
TGF-b,45,29.828552964606
TGF-b,45,32.7908726577965
TGF-b,47,33.0056759464292
TGF-b,47,32.6735949700718
TGF-b,48,28.3413943470852
TGF-b,48,29.1122599074688
TGF-b,49,31.7671670072954
TGF-b,49,32.4685781343173
TGF-b,51,34.6347580790923
TGF-b,51,33.8242029834519
TGF-b,53,30.5567011386156
TGF-b,53,31.2983109975977
TGF-b,55,35.6732550181615
TGF-b,55,34.409158172729
TGF-b,59,32.4400631937993
TGF-b,59,33.5631685308424
TGF-b,61,33.266000810764
TGF-b,61,33.0085227705618
TGF-b,75,34.0284129297929
TGF-b,75,33.0012411593141
TGF-b,76,33.0710734079391
TGF-b,76,34.347722951951
TGF-b,77,33.3524801539706
TGF-b,77,33.4840880109068
TGF-b,80,31.2457881572414
TGF-b,80,31.3371925364459
TGF-b,81,32.3010790026166
TGF-b,81,32.9964811250653
TGF-b,82,31.4316064736947
TGF-b,83,31.2096048401469
TGF-b,83,31.3903628000391
TGF-b,84,32.5192762411184
TGF-b,84,33.267222434057
TGF-b,85,32.4457419231588
TGF-b,85,33.4061920892518
TGF-b,86,35.4743775655835
TGF-b,88,32.2966525701719
TGF-b,88,33.1175426469024
TGF-b,91,33.2597078026869
TGF-b,91,34.9241957473902
TGF-b,93,36.302504456227
TGF-b,94,33.525490267499
TGF-b,94,33.3451114607495
