Target,Sample,Cq
CDC42,95,27.3329820188851
CDC42,23,26.4834419694392
CDC42,23,26.743441554494
CDC42,24,24.8440936771679
CDC42,24,25.5621667799942
CDC42,25,23.653852665008
CDC42,25,23.6960824325089
CDC42,26,24.0057078478958
CDC42,26,24.23664958274
CDC42,28,26.0488855402084
CDC42,28,25.4030513095864
CDC42,30,26.2424018325068
CDC42,30,25.4393092326659
CDC42,31,22.7776724170599
CDC42,31,23.9369097436334
CDC42,32,22.8114674378611
CDC42,32,23.607539110096
CDC42,33,26.6500361471693
CDC42,33,26.2489377009559
CDC42,41,24.483321600186
CDC42,41,25.0230613299183
CDC42,42,25.6291405291617
CDC42,42,26.1157634002544
CDC42,43,27.4813568626965
CDC42,43,27.178371780411
CDC42,44,24.0923634056892
CDC42,44,24.3873438647649
CDC42,45,23.0773667531838
CDC42,45,23.6025146375683
CDC42,46,22.9368964629308
CDC42,47,25.2989710807185
CDC42,47,25.7663768137406
CDC42,48,23.5048829917624
CDC42,48,24.9026291006028
CDC42,49,22.8119144059304
CDC42,49,22.9210618765542
CDC42,51,23.3209197444257
CDC42,51,23.5987635846393
CDC42,53,22.653458731297
CDC42,53,23.3142885406575
CDC42,54,24.9308394066137
CDC42,55,27.6245196579287
CDC42,55,26.8195213988202
CDC42,59,26.7209703167259
CDC42,59,27.3287375113526
CDC42,61,26.3150272179707
CDC42,61,26.7186928048026
CDC42,64,27.3495232934584
CDC42,64,27.8416061133949
CDC42,66,28.7551618549547
CDC42,66,28.7451757608909
CDC42,67,24.9879150360435
CDC42,75,26.871491829425
CDC42,75,27.0497731162251
CDC42,76,28.3698957246818
CDC42,76,28.2973197908205
CDC42,77,26.8945144481348
CDC42,77,27.0015526043607
CDC42,80,23.5464100901738
CDC42,80,24.1996753127692
CDC42,81,26.8125917238239
CDC42,81,27.4994593271758
CDC42,82,25.5666334919745
CDC42,82,26.6837534402298
CDC42,83,25.0515790721674
CDC42,83,25.6644608616348
CDC42,84,28.7108429268024
CDC42,84,27.9660400634462
CDC42,85,28.0598592912611
CDC42,85,29.2470041927025
CDC42,86,29.0955186286824
CDC42,86,29.1197953731807
CDC42,88,29.2405004880346
CDC42,88,29.4567085186013
CDC42,89,29.2365821108956
CDC42,90,29.0991338464499
CDC42,90,30.3370452179109
CDC42,91,25.8159659618708
CDC42,91,25.3924510015704
CDC42,93,25.2415045231659
CDC42,93,26.035519099319
CDC42,94,24.5703843460279
CDC42,94,25.0486606282605
